query_id,tag,band,lyric_cosine,rank_in_pool
Q4,raise_a_suilen__521,raise_a_suilen,0.5409,80
Q4,poppin_party__441,poppin_party,0.5408,81
Q4,pastel_palettes__341,pastel_palettes,0.5405,82
Q4,raise_a_suilen__542,raise_a_suilen,0.5402,83
Q4,roselia__608,roselia,0.5399,84
Q4,pastel_palettes__329,pastel_palettes,0.5398,85
Q4,morfonica__182,morfonica,0.5391,86
Q4,poppin_party__417,poppin_party,0.5389,87
Q4,roselia__617,roselia,0.5387,88
Q4,poppin_party__400,poppin_party,0.5384,89
Q4,afterglow__071,afterglow,0.5381,90
Q4,raise_a_suilen__513,raise_a_suilen,0.5381,91
Q4,ave_mujica__079,ave_mujica,0.538,92
Q4,poppin_party__422,poppin_party,0.5379,93
Q4,poppin_party__409,poppin_party,0.5377,94
Q4,poppin_party__485,poppin_party,0.5374,95
Q4,afterglow__005,afterglow,0.5374,96
Q4,afterglow__038,afterglow,0.5367,97
Q4,poppin_party__465,poppin_party,0.5361,98
Q4,poppin_party__480,poppin_party,0.5359,99
Q4,hello_happy_world__110,hello_happy_world,0.5356,100
Q4,ave_mujica__073,ave_mujica,0.5353,101
Q4,hello_happy_world__143,hello_happy_world,0.5352,102
Q4,hello_happy_world__166,hello_happy_world,0.5351,103
Q4,poppin_party__486,poppin_party,0.535,104
Q4,raise_a_suilen__511,raise_a_suilen,0.5338,105
Q4,poppin_party__434,poppin_party,0.5338,106
Q4,pastel_palettes__305,pastel_palettes,0.533,107
Q4,roselia__658,roselia,0.5322,108
Q4,roselia__595,roselia,0.5321,109
Q4,afterglow__016,afterglow,0.5311,110
Q4,roselia__610,roselia,0.5307,111
Q4,roselia__624,roselia,0.5304,112
Q4,poppin_party__419,poppin_party,0.5301,113
Q4,poppin_party__433,poppin_party,0.5297,114
Q4,roselia__623,roselia,0.5294,115
Q4,mygo__289,mygo,0.5292,116
Q4,afterglow__055,afterglow,0.5289,117
Q4,afterglow__043,afterglow,0.5286,118
Q4,poppin_party__390,poppin_party,0.5281,119
Q4,roselia__586,roselia,0.528,120
Q4,roselia__629,roselia,0.5275,121
Q4,poppin_party__427,poppin_party,0.5275,122
Q4,poppin_party__431,poppin_party,0.5275,123
Q4,raise_a_suilen__514,raise_a_suilen,0.5269,124
Q4,poppin_party__381,poppin_party,0.5269,125
Q4,afterglow__058,afterglow,0.5264,126
Q4,morfonica__181,morfonica,0.5263,127
Q4,afterglow__044,afterglow,0.526,128
Q4,afterglow__014,afterglow,0.5259,129
Q4,poppin_party__458,poppin_party,0.5259,130
Q4,roselia__573,roselia,0.5256,131
Q4,mygo__260,mygo,0.5255,132
Q4,poppin_party__447,poppin_party,0.5255,133
Q5,raise_a_suilen__491,raise_a_suilen,0.7343,1
Q5,pastel_palettes__371,pastel_palettes,0.7152,2
Q5,poppin_party__375,poppin_party,0.7011,3
Q5,roselia__611,roselia,0.6961,4
Q5,afterglow__036,afterglow,0.6951,5
Q5,raise_a_suilen__527,raise_a_suilen,0.6949,6
Q5,poppin_party__450,poppin_party,0.6947,7
Q5,raise_a_suilen__526,raise_a_suilen,0.6938,8
Q5,various_artists__104,various_artists,0.6916,9
Q5,roselia__629,roselia,0.687,10
Q5,hello_happy_world__119,hello_happy_world,0.6857,11
Q5,poppin_party__443,poppin_party,0.6845,12
Q5,ave_mujica__088,ave_mujica,0.6828,13
Q5,raise_a_suilen__498,raise_a_suilen,0.6821,14
Q5,hello_happy_world__115,hello_happy_world,0.6796,15
Q5,pastel_palettes__332,pastel_palettes,0.6794,16
Q5,roselia__621,roselia,0.6793,17
Q5,roselia__624,roselia,0.679,18
Q5,poppin_party__409,poppin_party,0.6772,19
Q5,raise_a_suilen__504,raise_a_suilen,0.6761,20
Q5,roselia__632,roselia,0.6754,21
Q5,raise_a_suilen__537,raise_a_suilen,0.675,22
Q5,poppin_party__390,poppin_party,0.6729,23
Q5,raise_a_suilen__543,raise_a_suilen,0.6706,24
Q5,poppin_party__434,poppin_party,0.6696,25
Q5,morfonica__186,morfonica,0.6689,26
Q5,poppin_party__447,poppin_party,0.6675,27
Q5,poppin_party__410,poppin_party,0.6669,28
Q5,raise_a_suilen__520,raise_a_suilen,0.6668,29
Q5,poppin_party__457,poppin_party,0.6665,30
Q5,pastel_palettes__331,pastel_palettes,0.6637,31
Q5,ave_mujica__096,ave_mujica,0.6635,32
Q5,mygo__293,mygo,0.6633,33
Q5,poppin_party__452,poppin_party,0.6632,34
Q5,hello_happy_world__109,hello_happy_world,0.6622,35
Q5,pastel_palettes__335,pastel_palettes,0.6619,36
Q5,afterglow__002,afterglow,0.6601,37
Q5,afterglow__006,afterglow,0.6598,38
Q5,poppin_party__397,poppin_party,0.6595,39
Q5,raise_a_suilen__513,raise_a_suilen,0.6583,40
Q5,roselia__608,roselia,0.6575,41
Q5,poppin_party__383,poppin_party,0.6573,42
Q5,poppin_party__469,poppin_party,0.657,43
Q5,afterglow__055,afterglow,0.6568,44
Q5,raise_a_suilen__568,raise_a_suilen,0.6568,45
Q5,roselia__601,roselia,0.6568,46
Q5,ave_mujica__073,ave_mujica,0.6567,47
Q5,hello_happy_world__114,hello_happy_world,0.6563,48
Q5,roselia__623,roselia,0.6561,49
Q5,roselia__651,roselia,0.6557,50
Q5,roselia__604,roselia,0.6553,51
Q5,raise_a_suilen__522,raise_a_suilen,0.6552,52
Q5,poppin_party__419,poppin_party,0.6552,53
Q5,ave_mujica__083,ave_mujica,0.6542,54
Q5,poppin_party__485,poppin_party,0.6539,55
Q5,roselia__600,roselia,0.6532,56
Q5,ave_mujica__076,ave_mujica,0.6529,57
Q5,morfonica__182,morfonica,0.6528,58
Q5,raise_a_suilen__490,raise_a_suilen,0.6511,59
Q5,afterglow__068,afterglow,0.6498,60
Q5,raise_a_suilen__535,raise_a_suilen,0.6496,61
Q5,roselia__595,roselia,0.6495,62
Q5,raise_a_suilen__533,raise_a_suilen,0.6494,63
Q5,ave_mujica__079,ave_mujica,0.6492,64
Q5,poppin_party__396,poppin_party,0.6484,65
Q5,raise_a_suilen__542,raise_a_suilen,0.6482,66
Q5,roselia__610,roselia,0.6477,67
Q5,pastel_palettes__344,pastel_palettes,0.6475,68
Q5,roselia__614,roselia,0.6462,69
Q5,pastel_palettes__338,pastel_palettes,0.6455,70
Q5,poppin_party__394,poppin_party,0.6454,71
Q5,roselia__612,roselia,0.6444,72
Q5,hello_happy_world__123,hello_happy_world,0.6435,73
Q5,afterglow__042,afterglow,0.6433,74
Q5,pastel_palettes__357,pastel_palettes,0.6433,75
Q5,poppin_party__461,poppin_party,0.642,76
Q5,raise_a_suilen__531,raise_a_suilen,0.6414,77
Q5,hello_happy_world__107,hello_happy_world,0.6409,78
Q5,hello_happy_world__120,hello_happy_world,0.6404,79
Q5,poppin_party__400,poppin_party,0.6402,80
Q5,hello_happy_world__116,hello_happy_world,0.6399,81
Q5,poppin_party__459,poppin_party,0.6396,82
Q5,poppin_party__445,poppin_party,0.6394,83
Q5,roselia__577,roselia,0.6392,84
Q5,pastel_palettes__337,pastel_palettes,0.6391,85
Q5,hello_happy_world__111,hello_happy_world,0.6389,86
Q5,hello_happy_world__125,hello_happy_world,0.6386,87
Q5,pastel_palettes__348,pastel_palettes,0.6385,88
Q5,raise_a_suilen__511,raise_a_suilen,0.6376,89
Q5,hello_happy_world__118,hello_happy_world,0.6373,90
Q5,roselia__582,roselia,0.637,91
Q5,roselia__617,roselia,0.637,92
Q5,poppin_party__423,poppin_party,0.6366,93
Q5,poppin_party__458,poppin_party,0.6356,94
Q5,poppin_party__408,poppin_party,0.6351,95
Q5,poppin_party__389,poppin_party,0.6348,96
Q5,roselia__606,roselia,0.6347,97
Q5,roselia__619,roselia,0.6344,98
Q5,poppin_party__433,poppin_party,0.6342,99
