idx,band,song,duration_sec,bpm_autocorr,extract_sec,error,bpm_madmom,beat_count,beat_interval_median_sec,halftime_flag,official_bpm,ratio,octave_class
84,ave_mujica,Ave Mujica,277.68,107.666015625,21.26,,113.2075471698126,644.0,0.53,True,222.0,0.509943906170327,half(0.5x)
106,hello_happy_world,キミがいなくちゃっ！,243.55,151.99908088235293,18.53,,124.99999999999896,504.0,0.48,False,124.0,1.0080645161290238,
107,hello_happy_world,ハイファイブ∞あどべんちゃっ,272.28,129.19921875,21.83,,199.9999999999924,899.0,0.3,False,198.0,1.0101010101009718,
108,hello_happy_world,スマイルブーケで た〜まや〜！,271.96,143.5546875,20.86,,150.00000000000054,682.0,0.4,False,151.0,0.9933774834437122,
109,hello_happy_world,えがお･シング･あ･ソング,248.72,151.99908088235293,19.01,,149.99999999999787,620.0,0.4,False,150.0,0.9999999999999858,
110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,235.02,161.4990234375,18.03,,171.4285714285742,675.0,0.35,False,172.0,0.9966777408638035,
111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,233.06,184.5703125,18.06,,187.500000000004,738.0,0.32,False,190.0,0.986842105263179,
112,hello_happy_world,ないすみちゅっ！,256.89,92.28515625,19.9,,176.47058823529235,748.0,0.34,False,174.0,1.0141987829614503,
113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,219.36,103.359375,16.85,,214.28571428571345,758.0,0.28,False,215.0,0.9966777408637835,
114,hello_happy_world,うぃーきゃん☆フレフレっ！,239.36,129.19921875,18.48,,181.8181818181749,717.0,0.33,False,180.0,1.0101010101009718,
115,hello_happy_world,えがおのオーケストラっ！,229.75,135.99917763157896,17.79,,139.534883720928,529.0,0.43,False,138.0,1.011122345803826,
116,hello_happy_world,にこにこねくと！,250.46,151.99908088235293,19.21,,166.66666666666694,700.0,0.36,False,167.0,0.9980039920159697,
117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,246.03,83.35433467741936,20.05,,125.00000000000269,513.0,0.48,False,126.0,0.9920634920635134,
118,hello_happy_world,せかいのっびのびトレジャー！,212.44,172.265625,16.47,,193.5483870967728,656.0,0.31,False,85.0,2.2770398481973273,
119,hello_happy_world,きらっ☆と キミフェス！,230.75,123.046875,17.71,,127.6595744680854,493.0,0.47,False,128.0,0.9973404255319172,
120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,217.46,143.5546875,17.31,,193.5483870967728,695.0,0.31,False,194.0,0.9976720984369732,
121,hello_happy_world,はれやか すこやか ぴかりんりん♪,255.87,234.90767045454547,20.28,,115.38461538461311,489.0,0.52,False,230.0,0.5016722408026657,half(0.5x)
122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,291.53,112.34714673913044,22.06,,130.43478260869338,632.0,0.46,False,130.0,1.0033444816053336,
123,hello_happy_world,Happy! Happier! Happiest!,242.61,86.1328125,19.0,,171.4285714285742,697.0,0.35,False,172.0,0.9966777408638035,
124,hello_happy_world,現るっ！大怪盗ハロハッピー！,223.79,172.265625,17.3,,181.8181818181906,687.0,0.33,False,184.0,0.9881422924901663,
125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,232.9,161.4990234375,18.11,,162.16216216216017,623.0,0.37,False,160.0,1.0135135135135012,
126,hello_happy_world,おもいでイルミネーション,252.41,161.4990234375,19.91,,166.66666666666035,696.0,0.36,False,165.0,1.0101010101009718,
127,hello_happy_world,おもいやりハーモニー,231.03,135.99917763157896,17.98,,136.36363636363046,519.0,0.44,False,135.0,1.0101010101009664,
128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,210.42,184.5703125,16.06,,181.8181818181906,646.0,0.33,False,184.0,0.9881422924901663,
129,hello_happy_world,えがお、あーゆーれでぃ???,225.84,143.5546875,17.6,,139.534883720928,520.0,0.43,False,138.0,1.011122345803826,
130,hello_happy_world,ハッピーサマーウェディング,284.19,172.265625,22.41,,127.6595744680854,607.0,0.47,False,128.0,0.9973404255319172,
131,hello_happy_world,ひまわりの約束,307.01,103.359375,23.65,,78.94736842105358,483.0,0.76,True,79.0,0.9993337774816909,
132,hello_happy_world,ハッピー☆マテリアル,224.76,107.666015625,17.58,,162.16216216216228,613.0,0.37,False,163.0,0.9948598905654127,
133,hello_happy_world,太陽曰く燃えよカオス,238.72,99.38401442307692,17.61,,142.85714285714226,567.0,0.42,False,143.0,0.9990009990009948,
134,hello_happy_world,エクストラ・マジック・アワー,255.02,60.09265988372093,19.41,,181.8181818181749,767.0,0.33,False,180.0,1.0101010101009718,
135,hello_happy_world,コレカラ,214.65,161.4990234375,16.52,,162.16216216216017,582.0,0.37,False,162.0,1.0010010010009887,
136,hello_happy_world,全力少年,241.33,89.10290948275862,18.01,,133.3333333333367,539.0,0.45,False,134.0,0.9950248756219157,
137,hello_happy_world,オレンジ,277.92,135.99917763157896,20.9,,139.53488372093034,648.0,0.43,False,140.0,0.9966777408637881,
138,hello_happy_world,Happy Girl,237.71,95.703125,19.03,,146.3414634146341,575.0,0.41,False,145.0,1.0092514718250627,
139,hello_happy_world,ン・パカマーチ,155.68,117.45383522727272,11.95,,117.64705882352824,305.0,0.51,False,117.0,1.0055304172951132,
140,hello_happy_world,サンバロハッピ〜！,216.02,161.4990234375,16.67,,127.65957446808638,465.0,0.47,False,129.0,0.9896091044037704,
141,hello_happy_world,ボクらの夏's☆ショーたいむっ！！,206.49,161.4990234375,15.78,,176.4705882352942,614.0,0.34,False,178.0,0.9914077990746866,
142,hello_happy_world,むすんでわらって,241.5,86.1328125,19.01,,130.43478260869338,524.0,0.46,False,130.0,1.0033444816053336,
143,hello_happy_world,キミを れっつ・はぶ・ふぁん♪,234.57,103.359375,18.48,,157.89473684210716,616.0,0.38,False,158.0,0.9993337774816909,
144,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,237.23,86.1328125,18.03,,139.53488372093034,554.0,0.43,False,140.0,0.9966777408637881,
145,hello_happy_world,れっつ・スマイル・すとり〜みんぐっ♪,227.18,95.703125,17.7,,149.99999999999787,558.0,0.4,False,150.0,0.9999999999999858,
146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,212.03,151.99908088235293,16.53,,315.7894736842025,825.0,0.19,True,158.0,1.998667554963307,double(2x)
147,hello_happy_world,とーくとぅみー・とーくとぅゆー,208.21,258.3984375,15.94,,136.36363636363706,476.0,0.44,False,137.0,0.9953550099535552,
