idx,band,song,duration_sec,key_ks,mode_ks,key_ks_confidence,modulation_flag,key_essentia,mode_essentia,key_mismatch,mode_only_mismatch,error
184,morfonica,カラフルリバティー,218.83,G#,minor,0.581,True,E,major,True,False,
183,morfonica,ブルームブルーム,276.9,D,major,0.329,False,F#,minor,True,False,
180,morfonica,Daylight -デイライト-,357.29,G,minor,0.446,False,G,minor,False,False,
185,morfonica,fly with the night,240.67,A,major,0.538,False,A,major,False,False,
186,morfonica,金色へのプレリュード,271.23,B,minor,0.421,True,C,major,True,False,
187,morfonica,The Circle Of Butterflies,258.77,B,major,0.793,False,B,major,False,False,
188,morfonica,ハーモニー・デイ,219.17,D#,major,0.698,False,Eb,major,True,False,
189,morfonica,Sweet Cheers!,224.33,G,major,0.525,True,G,major,False,False,
190,morfonica,"寄る辺のSunny, Sunny",215.97,A,minor,0.535,True,F,major,True,False,
191,morfonica,誓いのWingbeat,255.0,A,minor,0.97,False,A,minor,False,False,
192,morfonica,Ever Sky Blue,241.13,A#,minor,0.443,True,Ab,minor,True,False,
193,morfonica,Polyphonyscape,251.43,F#,major,0.787,False,F#,major,False,False,
195,morfonica,Merry Merry Thanks!!,257.73,B,major,0.445,False,E,major,True,False,
194,morfonica,Wreath of Brave,263.23,B,major,0.549,False,B,major,False,False,
197,morfonica,両翼のBrilliance,239.8,A,minor,0.983,False,D,minor,True,False,
196,morfonica,Sonorous,313.27,G,major,0.733,False,G,major,False,False,
198,morfonica,Steer to Utopia,216.27,G#,minor,0.608,True,B,major,False,False,
200,morfonica,ティリカモニカリラ,204.07,B,minor,0.625,False,B,minor,False,False,
201,morfonica,Secret Dawn,238.44,A#,major,0.418,False,Bb,major,True,False,
199,morfonica,Fateful...,286.83,G,major,0.496,True,B,minor,True,False,
202,morfonica,Angel's Ladder,253.4,A#,major,0.545,True,Bb,major,True,False,
203,morfonica,One step at a time,263.74,E,major,0.769,False,E,major,False,False,
204,morfonica,Tempest,252.2,A,minor,0.456,False,E,minor,True,False,
205,morfonica,フレージング ミラージュ,263.63,E,minor,0.375,True,E,minor,False,False,
206,morfonica,MUGEN Reverberate!,230.33,B,minor,0.732,False,B,minor,False,False,
208,morfonica,esora no clover,193.87,A,minor,0.561,False,D,minor,True,False,
207,morfonica,わたしまちがいさがし,273.01,E,minor,0.447,False,A,minor,True,False,
209,morfonica,きょうもMerry go rounD,238.04,F#,minor,0.353,False,F#,minor,False,False,
210,morfonica,Feathered Dreams,226.37,E,major,0.337,True,A,minor,True,False,
212,morfonica,ビューティ・フォー,189.33,B,minor,0.649,False,D,major,False,False,
213,morfonica,胡蝶翔る星月夜,204.67,A,major,0.862,False,A,major,False,False,
211,morfonica,Portray Empathy,253.3,G,major,0.454,True,G,major,False,False,
214,morfonica,Color of Us,233.73,G#,major,0.522,True,Ab,major,True,False,
216,morfonica,Shining Leaves,217.97,A,major,0.455,True,D,major,True,False,
215,morfonica,Resonant Strings,240.38,A,minor,0.887,False,A,minor,False,False,
219,morfonica,QUEEN (Cover),145.77,G,minor,0.787,False,G,minor,False,False,
218,morfonica,蒼穹へのトレイル,219.17,G,minor,0.523,True,G,minor,False,False,
217,morfonica,音がえしのセレナーデ,301.77,D,major,0.403,False,G,major,True,False,
220,morfonica,again (Cover),250.8,A,minor,0.427,False,E,minor,True,False,
222,morfonica,メロウ (Cover),249.2,G#,major,0.449,False,Ab,major,True,False,
223,morfonica,祝福 (Cover),194.27,A,minor,0.48,False,A,minor,False,False,
221,morfonica,輪舞-revolution (Cover),273.5,A,minor,0.81,False,D,minor,True,False,
