idx,band,song,url,video_id,key,camelot,tempo_excerpt,energy_proxy,mode_score,acousticness_proxy,instrumentalness_proxy,bpm,energy,shape,eligible_band,energy_full,i_mean,i_std,i_max,i_min,i_start,i_end,m3-mode,m4-lufs_integrated,m4-lra,m5-arousal_median,m6-valence_median,m7-danceability_norm,m8-acoustic_median,m9-instr_stem_ratio,m11-speech_median,display_band
40,afterglow,A Sunset So Bright,https://youtu.be/gKHkLAXGVbE,gKHkLAXGVbE,Emin,9A,129.19922,-0.003004739238783194,-0.07916,0.9226318527231062,-2.535113703415782,129.2,0.92,acoustic,True,0.300919,0.39370,0.73215,1.45110,-0.66997,0.33755,0.48082,minor,-9.281351023594398,2.642207145690918,6.64708137512207,4.8741,0.2112,2.17999786400469e-06,0.820051,0.0309243891388177,
41,afterglow,Start as Usual,https://youtu.be/sWjSEnBR4qE,sWjSEnBR4qE,Amaj,11B,117.45384,0.0626966312204904,0.09924,0.866961046801608,-0.5967299133003859,117.5,0.836,acoustic,True,0.382083,0.33352,0.69328,1.42265,-0.49531,0.21518,0.41206,major,-9.989062421357781,2.5784950256347656,6.692793846130371,5.1904,0.6337,2.012628101510927e-05,0.621262,0.0625992566347122,
42,afterglow,“Say cheese!!!!!”,https://youtu.be/RHGk1uT_yMc,RHGk1uT_yMc,Emaj,12B,117.45384,1.8024470314482903,0.12931,1.693509240005046,-1.271079377902775,117.5,0.897,acoustic,True,0.345329,0.31891,0.72746,1.54670,-0.60411,0.24276,0.33028,major,-9.474491772849623,1.4896478652954102,7.090773582458496,5.874,0.7994,2.190259147027973e-05,0.72551,0.0620506443083286,
43,afterglow,花笑みのデュオ,https://youtu.be/m6jnZ8qDw-E,m6jnZ8qDw-E,Gmaj,9B,99.38401,1.7072695181071398,0.00438,-0.38736946404658773,1.0940367435718144,99.4,0.904,neutral,True,0.431087,0.51459,0.86545,2.10650,-0.71509,0.65703,0.45710,major,-9.14375258734692,3.4912567138671875,6.675547122955322,5.7468,0.4802,0.00011692336556734517,0.623604,0.065578743815422,
44,afterglow,READY STEADY GO (Cover),https://youtu.be/pSdx__hacYc,pSdx__hacYc,Emaj,12B,143.55469,-1.8483803909402066,0.3028,-1.864647333163667,0.6510154727998864,143.6,0.548,bright,True,0.790965,0.36107,0.80862,1.69893,-0.73806,-0.04727,0.37425,major,-10.393187903357065,3.181570053100586,7.210546493530273,5.9411,0.4301,2.499617721696268e-06,0.75303,0.0481807775795459,
45,afterglow,abnormalize (Cover),https://youtu.be/PORDvsXEOjA,PORDvsXEOjA,Dmin,7A,117.45384,-0.5849220003345821,-0.33867,0.3216810061435143,-1.5903552174771856,117.5,0.592,shimmer,True,0.299387,0.04810,0.87918,1.40418,-1.17019,-0.07796,0.09328,major,-10.330948514370494,3.786113739013672,7.159338474273682,5.7597,0.1717,4.3089588871225715e-05,0.740614,0.0746541246771812,
46,afterglow,メンタルチェンソー (Cover),https://youtu.be/ujO1ibiy_SQ,ujO1ibiy_SQ,Dmin,7A,123.04688,0.11574744458600972,-0.0795,-0.3315513423127523,-1.3818189117397368,123.0,0.678,shimmer,True,0.337672,-0.06431,0.87556,1.54521,-1.17776,-0.02917,-0.33175,minor,-10.644164276537738,2.793766975402832,7.2289533615112305,6.2415,0.9924,0.0002977974945679307,0.747949,0.076689712703228,
47,afterglow,Bunny Girl (Cover),https://youtu.be/9zRb7Kd0mOw,9zRb7Kd0mOw,G#min,1A,107.66602,2.1595755747804017,-0.07211,-1.4118275083464036,0.05811070526116963,107.7,0.203,shimmer,True,0.847626,0.22849,1.09077,2.39840,-0.95639,0.55154,0.07437,minor,-11.611832379935164,3.4120054244995117,6.961411952972412,6.1581,0.9271,0.00020666138152591884,0.724083,0.0799342468380928,
48,afterglow,オレンジ (Cover),https://youtu.be/1xpUhlxXVfQ,1xpUhlxXVfQ,Gmaj,9B,135.99918,1.4314089548242286,0.36609,-0.6814534773938933,-0.05919491268015023,99.4,0.457,shimmer,True,0.405054,0.13979,0.98311,1.67707,-1.40043,-0.55836,0.03888,major,-10.754030561943761,4.58387565612793,6.504333972930908,5.5096,0.3298,2.207091893069446e-05,0.67899,0.0613279119133949,
49,afterglow,カゲロウデイズ (Cover),https://youtu.be/f2UtT521XMs,f2UtT521XMs,Fmaj,7B,99.38401,1.1416650567860978,0.21846,2.0079029330910996,-0.7726252047882859,99.4,0.41,acoustic,True,0.379020,0.10364,0.81607,1.46493,-0.94381,-0.18349,0.31525,minor,-11.369588711675483,3.772036552429199,6.269518852233887,5.4546,0.7158,2.7366160793462768e-05,0.771303,0.054078783839941,
50,afterglow,DAY×DAY (Cover),https://youtu.be/kSVcNXz21RY,kSVcNXz21RY,Gmaj,9B,95.70312,-0.2156501204106796,0.04629,-0.8451456648258184,1.129897664449462,95.7,0.824,bright,True,0.536753,0.42816,0.74019,1.66828,-0.52475,0.29016,0.32172,major,-9.426798170737518,3.8534412384033203,7.128175735473633,5.9461,0.7416,1.3317896446096711e-05,0.638362,0.0850098207592964,
51,afterglow,ロキ (Cover),https://youtu.be/i-3KO5JZOoA,i-3KO5JZOoA,Emaj,12B,151.99908,-1.1703429155363871,0.04765,-0.09895575473376828,0.2144340152841558,152.0,0.39,shimmer,True,0.562787,-0.00224,0.90364,1.42126,-1.08509,-0.02327,0.42682,minor,-11.178045624985106,2.46970272064209,7.172277450561523,5.6201,0.7371,4.7638288378948346e-05,0.741849,0.0721908882260322,
52,afterglow,CHAINSAW BLOOD (Cover),https://youtu.be/0vocZOBTZKs,0vocZOBTZKs,Amin,8A,143.55469,0.2134811329423809,-0.09147,-0.9314674068062738,0.9051355547233594,143.6,0.51,shimmer,True,0.284074,-0.18857,0.81845,1.10076,-1.20279,-0.54539,-0.29499,minor,-11.053990864504357,3.417177200317383,7.113705635070801,5.7521,0.9407,0.0005586625775322318,0.731216,0.0983046740293502,
53,afterglow,チルドレンレコード (Re:boot) (Cover),https://youtu.be/SVBJBQX3IsA,SVBJBQX3IsA,Emin,9A,103.35938,-1.3785251487816155,-0.12879,-1.4094630993850683,-0.09499269813371779,103.4,0.478,shimmer,True,0.591884,0.15782,0.94661,1.88240,-0.99537,-0.21727,0.44189,major,-10.818795287532726,4.022705078125,7.009706020355225,5.9682,0.4787,0.007202619221061468,0.662413,0.0751443952322006,
54,afterglow,青のすみか (Cover),https://youtu.be/agEZ5jPpldQ,agEZ5jPpldQ,F#maj,2B,151.99908,0.2183326692987504,0.19695,0.45135062907972096,-1.1668427927460905,152.0,0.686,neutral,True,0.279479,0.24595,1.02458,1.86043,-1.44091,0.15577,0.58224,major,-9.512378234870193,5.735533714294434,6.595925331115723,5.3114,0.041,4.046656613354571e-05,0.624873,0.061123851686716,
55,afterglow,GO!!! (Cover),https://youtu.be/FDflFAr27rE,FDflFAr27rE,Fmaj,7B,135.99918,-0.5268135615723382,0.31826,-0.8888366985264413,-0.6944635497767928,136.0,0.71,neutral,True,0.578101,0.13339,0.81388,1.28503,-0.95873,0.25526,0.58011,major,-10.18721708163003,2.0809059143066406,7.474613189697266,5.9499,0.962,0.0002498531830497086,0.708464,0.1125637590885162,
56,afterglow,天ノ弱 (Cover),https://youtu.be/Rs6BXRn3noE,Rs6BXRn3noE,C#maj,3B,135.99918,-0.022098903700271455,0.10842,0.1118866406292921,0.3578145633706669,99.4,0.744,shimmer,True,0.504594,0.01279,0.87221,1.48677,-1.04234,0.09239,0.37251,major,-9.807370367842113,3.304037094116211,7.115947246551514,5.9893,0.5304,0.0018269341671839356,0.660481,0.0707379952073097,
57,afterglow,アスノヨゾラ哨戒班 (Cover),https://youtu.be/Tdr0apLRXd4,Tdr0apLRXd4,Amaj,11B,123.04688,-1.2829748564166712,0.38516,0.7049385705153404,-3.059579671251382,123.0,0.704,acoustic,True,0.473966,0.32657,0.89647,1.60864,-1.05645,0.27696,0.04186,major,-10.016413655887883,4.120265960693359,7.090052604675293,5.7625,0.0319,0.00018703570822253823,0.774162,0.0601432509720325,
58,afterglow,瞬間センチメンタル (Cover),https://youtu.be/_DYh8jUgy-Y,_DYh8jUgy-Y,Amaj,11B,112.34715,-1.1410420307467866,0.02564,-1.7556703242974803,0.8106218248750516,112.3,0.599,neutral,True,0.579632,0.22870,0.81096,1.48643,-0.79435,0.31006,0.45094,major,-10.54456114435566,2.1607351303100586,7.269939422607422,5.8459,0.7629,0.00011595249088713899,0.739362,0.0724614560604095,
59,afterglow,プライド革命 (Cover),https://youtu.be/zvvFpagDgeY,zvvFpagDgeY,Emaj,12B,123.04688,-1.8310217952198193,0.23664,-2.0673277455978982,0.9865802517870315,123.0,0.085,neutral,True,0.843032,0.17745,0.77122,1.50732,-0.77706,0.57096,0.35432,major,-12.00071404283671,4.428055763244629,7.200177192687988,6.3367,0.383,0.0004929915885441005,0.691156,0.0850421637296676,
60,afterglow,命に嫌われている。 (Cover),https://youtu.be/03BGdH5H5xE,03BGdH5H5xE,Cmaj,8B,99.38401,-0.17465593478581487,0.21804,-0.5062371584189626,1.2015563707806776,99.4,0.05,shimmer,True,0.423430,-0.19343,0.97540,1.42698,-1.67837,-1.40614,0.02253,major,-11.812615422973238,7.896788597106934,5.94578218460083,5.4714,0.6368,0.06084178015589714,0.727035,0.0741012468934059,
61,afterglow,Redo (Cover),https://youtu.be/Q5ld_AEJAWw,Q5ld_AEJAWw,Cmin,5A,129.19922,-0.9994055603212946,-0.13088,-0.24863761003468504,-0.5902269646201085,129.2,0.337,neutral,True,0.493874,0.02507,0.79030,1.28968,-1.03654,-0.16367,0.70690,minor,-11.025557472240878,3.7117576599121094,6.891557693481445,6.3599,0.0988,1.086216616386082e-05,0.719159,0.0769049003720283,
62,afterglow,インフェルノ (Cover),https://youtu.be/DOrx3z-Z86c,DOrx3z-Z86c,Amaj,11B,123.04688,-2.0016178596863727,0.13672,-0.634932798074693,-0.9583064870086417,92.3,0.448,neutral,True,0.630168,0.11658,0.81449,1.31496,-0.94614,0.52114,0.32928,major,-11.09963671712552,2.526413917541504,7.359781265258789,6.4783,0.6626,0.00024208346439991146,0.728964,0.077574498951435,
