idx,band,song,duration_sec,cen_mean,cen_p90,roll_mean,roll_p90,bw_mean,bw_p90,flat_mean,flat_p90,contrast_mean,contrast_p90,zcr_mean,zcr_p90,perc_mean,perc_p90,perc_p95,onset_mean,onset_p90,onset_rate,rms_mean,rms_p90,extract_sec,error
24,afterglow,Crow Song,244.2,2827.1521617823782,3355.871731240784,5594.739555321889,6987.5244140625,2566.9370809519683,2912.938519834841,0.05176959186792374,0.07739131897687912,21.39261930531604,23.726512953125493,0.15291225850111723,0.20263671875,0.3086228668689728,0.6753349304199219,0.7637683749198914,1.1384557485580444,2.1541967391967773,2.6371826371826375,0.1659749448299408,0.24135722219944,9.41,
28,afterglow,トーキョーワンダー。,153.77,2223.9637729163946,2741.6409877415135,4341.603225000707,5910.8642578125,2212.410349242823,2736.1599151706323,0.03348514065146446,0.037956204265356064,21.26915898332432,23.592825915781358,0.11634320030575268,0.162109375,0.2868955433368683,0.6037233471870422,0.7033222913742065,1.2095947265625,2.2075459957122803,2.250162584001734,0.17205485701560974,0.24136443436145782,5.44,
27,afterglow,Northern lights,209.1,2356.1469820920033,2883.6390517716018,4718.682507560065,6599.9267578125,2361.6699049770764,2866.523392170998,0.03146445006132126,0.040558330714702606,21.694090358930886,24.147906271667452,0.1189249484718521,0.16015625,0.24630557000637054,0.5517692565917969,0.6540271043777466,1.203905701637268,2.1680946350097656,2.4055475848876138,0.17408855259418488,0.2285093069076538,7.87,
29,afterglow,Reach Out To The Truth,171.47,2817.0900441431068,3455.079932964452,5860.314443868483,7181.3232421875,2637.841005441891,2987.953078489374,0.05212913081049919,0.07685210555791855,20.735319285015606,22.998508697957295,0.13764261647342585,0.18798828125,0.2835334539413452,0.6600357890129089,0.74860018491745,1.1938691139221191,2.398629665374756,2.8926905132192844,0.18176907300949097,0.2551199197769165,6.29,
26,afterglow,アイのシナリオ,259.83,2611.8559666169854,3196.2802378623346,5482.13974215818,7170.556640625,2562.05498913374,3016.791435217222,0.04232225939631462,0.0652785375714302,21.30336175360551,23.82587101489023,0.13082582229861048,0.17626953125,0.2684395909309387,0.5639503598213196,0.6618039608001709,1.1569066047668457,2.1501405239105225,3.379089159717768,0.1573873609304428,0.21392133831977844,10.22,
30,afterglow,Listen!!,227.47,2530.0528475317687,3023.9272154066357,5230.88583748134,6826.025390625,2491.8022945183534,2936.0250881739025,0.039752617478370667,0.054655902087688446,21.051423638727794,23.55274260697219,0.1261442238376544,0.169921875,0.29635506868362427,0.6304394602775574,0.7091372013092041,1.2402971982955933,2.227355718612671,1.2924970691676436,0.16584664583206177,0.2270416021347046,8.56,
32,afterglow,イマジネーション,177.97,2653.1775171386234,3215.255032733644,5607.632371040239,7515.087890625,2553.6694380894583,3074.993178141806,0.041678790003061295,0.05555000528693199,21.78704561493567,24.289565015587634,0.1325308703318656,0.1767578125,0.2911123037338257,0.6720561385154724,0.7645863890647888,1.2133123874664307,2.4072132110595703,2.225135793219704,0.1545836478471756,0.2248116433620453,6.43,
34,afterglow,燦々,194.9,2772.070415231826,3423.1480890112434,5873.376115822128,7633.5205078125,2629.224971232044,3103.6911664156064,0.04893244430422783,0.07472363114356995,21.475744072846272,23.7871918749014,0.13455522313185014,0.18994140625,0.28324559330940247,0.5543667078018188,0.6447432041168213,1.2435338497161865,2.466916561126709,2.9451000513083634,0.17133395373821259,0.2260902225971222,6.88,
33,afterglow,Butter-Fly,250.2,2883.5862358633344,3328.4470519656734,5954.840869521245,6804.4921875,2643.8946950811405,2910.4589352560133,0.05027410015463829,0.0688193142414093,21.607388015854404,24.009133630188103,0.14754798169833427,0.19873046875,0.2689824104309082,0.5946981310844421,0.6829657554626465,1.161555528640747,2.169707775115967,0.947242206235012,0.18987803161144257,0.23920169472694397,9.09,
37,afterglow,ペトリコール・オベーション,219.13,2339.4881440585687,2800.4705854775225,4760.835381548494,6201.5625,2446.0427380181864,2827.6103883940223,0.029635675251483917,0.037067167460918427,21.36455856677362,23.852250309147422,0.10970740167739458,0.14599609375,0.28064626455307007,0.6243699789047241,0.7132866978645325,1.1996475458145142,2.2426939010620117,3.518405841192577,0.18167555332183838,0.25120803713798523,7.73,
35,afterglow,That's why I'm here.,261.87,2443.738650491558,3006.5266000528663,5192.349689643969,6847.55859375,2572.913173772659,2985.0945066378245,0.03169572353363037,0.046079523861408234,21.31491696820504,23.99385526180705,0.11122577556969321,0.15673828125,0.28120532631874084,0.6507827639579773,0.7440917491912842,1.2733961343765259,2.4662249088287354,1.8482688391038695,0.18262417614459991,0.25726377964019775,10.31,
31,afterglow,青い栞,336.8,2093.8711218611493,2791.2175621598644,4486.622128886052,6513.7939453125,2365.064998015826,2889.886898777866,0.01913653500378132,0.027984244748950005,23.270843941730977,26.27324407708794,0.08925074327817994,0.13916015625,0.18464380502700806,0.5761575102806091,0.7316864728927612,1.1650323867797852,2.5086185932159424,1.8467933491686461,0.14904654026031494,0.22059132158756256,13.45,
36,afterglow,IGNITE GLOW,267.37,2373.7493305845574,2873.6576650849884,4818.169672539893,6401.821289062504,2423.0961063046852,2848.378528337982,0.030957238748669624,0.04300092160701752,21.346106403739537,24.045525768020376,0.11973775713742944,0.16357421875,0.31220585107803345,0.6563725471496582,0.7414717674255371,1.2174429893493652,2.223083972930908,1.9149731953621743,0.1831880658864975,0.25398343801498413,10.61,
38,afterglow,Made My Day,243.97,2360.444409409017,2867.427377954865,5040.433656208361,6772.1923828125,2526.7495045425235,2951.544384381808,0.02852155640721321,0.0331290178000927,21.519971689284457,24.113095943758662,0.10429514624179119,0.142578125,0.23645740747451782,0.5488528609275818,0.6376780867576599,1.2112722396850586,2.319209098815918,1.5575898346768684,0.2026340663433075,0.2634095251560211,9.4,
39,afterglow,Glowing After,254.49,2670.8490730343874,3358.561568256204,5400.653466516228,7385.888671875,2554.713321805911,3016.7160576038455,0.03803404048085213,0.06621318310499191,22.22657835522194,24.84744070131774,0.12857584382982848,0.1806640625,0.2536052465438843,0.5924457311630249,0.7101807594299316,1.3201109170913696,2.678689479827881,3.281028972599151,0.19058872759342194,0.2770901322364807,9.67,
40,afterglow,A Sunset So Bright,231.11,2810.1870584841718,3355.4185565150915,5725.49979042123,7213.623046875,2643.372680010308,3039.445504431715,0.04427076876163483,0.06222635507583618,21.32148826539658,23.48299358615508,0.13011677344456446,0.17919921875,0.19478125870227814,0.3897952735424042,0.4715965688228607,1.1592416763305664,2.041048526763916,1.600992326775515,0.2064245641231537,0.24997246265411377,8.81,
