idx,band,song,i_mean,i_std,i_max,i_min,i_start,i_end
152,hello_happy_world,上海ハニー (Cover),0.45137,1.07444,2.46880,-1.05244,0.68565,0.85441
153,hello_happy_world,シル・ヴ・プレジデント (Cover),0.67463,0.93113,2.27895,-0.66222,0.58001,0.94653
154,hello_happy_world,ヒャダインのじょーじょーゆーじょー (Cover),0.36166,0.95699,2.00927,-0.97089,0.52303,1.48188
155,hello_happy_world,はいよろこんで (Cover),-0.02802,1.14615,2.17474,-1.53662,-0.48357,0.43932
156,hello_happy_world,シカ色デイズ (Cover),0.62024,1.05797,2.60966,-0.81970,0.91375,1.07518
157,hello_happy_world,強風オールバック (Cover),0.66468,1.44901,3.55398,-1.35514,0.85161,0.86682
158,hello_happy_world,最高到達点 (Cover),0.02650,0.94681,1.68172,-1.32874,-0.13475,-0.44680
159,hello_happy_world,許婚っきゅん (Cover),0.07550,1.04689,2.10246,-1.23062,-0.12373,0.72259
160,hello_happy_world,新宝島 (Cover),0.35746,1.15024,2.09237,-1.30508,-0.42297,-0.35387
161,hello_happy_world,ドレミファロンド (Cover),-0.07255,0.94972,1.46688,-1.31333,-0.17064,0.61086
162,hello_happy_world,きゅうくらりん (Cover),-0.05615,0.84520,1.30978,-1.23708,-0.18335,0.58174
163,hello_happy_world,ロメオ (Cover),0.45245,0.89313,2.11313,-0.70857,-0.12005,0.83496
164,hello_happy_world,エイリアンエイリアン (Cover),0.43064,0.89198,1.65428,-0.85190,0.31793,0.72748
165,hello_happy_world,いーあるふぁんくらぶ (Cover),0.39226,0.98096,1.96985,-1.04513,0.72978,0.26938
166,hello_happy_world,回レ！雪月花 (Cover),0.38877,0.90337,1.84644,-1.07950,0.47167,0.69149
167,hello_happy_world,恋愛裁判 (Cover),0.16611,0.97150,2.02518,-1.08648,0.10394,0.61162
168,hello_happy_world,TOMORROW (Cover),0.26109,0.81849,1.63748,-0.89486,0.50673,0.62872
169,hello_happy_world,GO! GO! MANIAC (Cover),0.62794,0.88244,1.96373,-0.64925,0.75186,1.21296
170,hello_happy_world,Dragon Night (Cover),-0.03953,1.17789,1.99196,-1.64718,-0.35746,1.11346
171,hello_happy_world,ようこそジャパリパークへ (Cover),0.25846,0.84529,1.75194,-0.87422,-0.08718,0.92728
172,hello_happy_world,ウィーアー！ (Cover),0.05412,0.75183,1.31662,-0.94688,-0.07887,0.58365
173,hello_happy_world,おジャ魔女カーニバル!! (Cover),0.23958,0.75837,1.54085,-0.73338,0.33675,0.76063
174,hello_happy_world,ダーリンダンス (Cover),0.39861,0.93341,2.13815,-0.91077,0.42705,0.37194
175,hello_happy_world,ノーポイッ！ (Cover),0.52052,0.91307,2.27046,-0.69015,0.51998,0.76026
176,hello_happy_world,SHINY DAYS (Cover),0.08077,0.96831,1.94983,-1.13511,0.25173,0.06744
177,hello_happy_world,シルエット (Cover),0.26292,0.82675,1.60269,-0.90183,0.17853,0.22071
178,ikka_dumb_rock,ホーミー・タイッ！！,0.52257,0.71022,1.57504,-0.55489,0.70593,0.53134
179,millsage,起死開戦,0.14313,0.87412,1.43984,-0.81635,0.37044,0.70166
180,morfonica,Daylight -デイライト-,0.51398,0.52112,1.35343,-0.29032,0.04577,0.40191
181,morfonica,メランコリックララバイ,0.46786,0.84609,1.81649,-0.70860,0.68693,0.41958
182,morfonica,flame of hope,0.44264,0.77473,1.83090,-0.57354,0.26791,0.76789
183,morfonica,ブルームブルーム,0.38458,0.79153,1.80816,-0.64668,0.44147,0.60892
184,morfonica,カラフルリバティー,0.25281,0.83981,1.65464,-0.85269,0.19508,0.27450
185,morfonica,fly with the night,0.06708,0.71156,1.30875,-0.92239,0.01087,-0.10187
186,morfonica,金色へのプレリュード,-0.01930,0.83961,1.33781,-1.07709,-0.13910,-0.25538
187,morfonica,The Circle Of Butterflies,-0.21335,0.76245,1.02903,-1.09224,-0.27915,0.08150
188,morfonica,ハーモニー・デイ,0.19026,0.86799,1.73745,-0.91705,0.33144,-0.01936
189,morfonica,Sweet Cheers!,-0.16624,0.80748,1.20725,-1.14271,-0.25766,-0.23078
190,morfonica,"寄る辺のSunny, Sunny",0.06237,0.83468,1.42309,-1.17681,-0.31250,0.34381
191,morfonica,誓いのWingbeat,0.26055,0.75009,1.45174,-0.82134,-0.47766,0.65724
192,morfonica,Ever Sky Blue,0.11989,0.84130,1.41768,-1.15690,-0.27442,-0.36564
193,morfonica,Polyphonyscape,0.39611,1.00591,1.99133,-1.24465,0.42245,-0.34391
194,morfonica,Wreath of Brave,0.18335,0.73256,1.28803,-0.81553,0.44402,0.43333
195,morfonica,Merry Merry Thanks!!,0.16811,0.88057,1.48496,-1.29382,-0.91858,0.11838
196,morfonica,Sonorous,-0.15285,0.80967,1.07708,-1.37411,-0.29755,-0.40816
