tag,idx,band,song,intensity,intensity_pct,brightness_pct,tempo_pct,shape
poppin_party__426,426,poppin_party,Photograph,0.33553639006185304,0.18532526475037822,0.7813918305597579,0.9258698940998488,neutral
poppin_party__427,427,poppin_party,夏に閉じこめて,0.19874564717534773,0.06732223903177005,0.9644478063540091,0.046142208774583963,acoustic
poppin_party__428,428,poppin_party,ぽっぴん'どりーむ！,0.6143290252282106,0.5832072617246596,0.4281391830559758,0.094553706505295,neutral
poppin_party__429,429,poppin_party,星の約束,0.38999891977928397,0.2534039334341906,0.31694402420574885,0.3668683812405446,neutral
poppin_party__430,430,poppin_party,新しい季節に,0.29412516047833837,0.1475037821482602,0.9962178517397882,0.5052950075642966,acoustic
poppin_party__431,431,poppin_party,トレモロアイズ,0.4768349269418682,0.35627836611195157,0.8645990922844176,0.2503782148260212,neutral
poppin_party__432,432,poppin_party,雨上がり、キミと,0.6245471071322918,0.5953101361573374,0.9039334341906202,0.5052950075642966,neutral
poppin_party__433,433,poppin_party,花咲く未来に,0.6854688356729233,0.6981845688350984,0.8600605143721634,0.7708018154311649,bright
poppin_party__434,434,poppin_party,Live Beyond!!,0.5287723344892213,0.4409984871406959,0.9357034795763994,0.046142208774583963,acoustic
poppin_party__435,435,poppin_party,Sweets BAN!,0.6796509464677905,0.6845688350983359,0.5922844175491679,0.9258698940998488,neutral
poppin_party__436,436,poppin_party,キミが始まる！,0.576989795881355,0.5121028744326778,0.7692889561270801,0.3668683812405446,acoustic
poppin_party__437,437,poppin_party,Moonlight Walk,0.6415785038725853,0.6270801815431165,0.39334341906202724,0.046142208774583963,neutral
poppin_party__438,438,poppin_party,ここから先は歌にならない,0.6940423900326949,0.7118003025718608,0.7859304084720121,0.046142208774583963,bright
poppin_party__439,439,poppin_party,青春 To Be Continued,0.5834352186899106,0.527231467473525,0.6679273827534039,0.7708018154311649,shimmer
poppin_party__440,440,poppin_party,Future Place,0.6566107022409057,0.6543116490166414,0.8918305597579426,0.5052950075642966,bright
poppin_party__441,441,poppin_party,大好き！,0.2618996007575396,0.11875945537065052,0.5544629349470499,0.9712556732223904,neutral
poppin_party__442,442,poppin_party,Five Letters,0.091526098584896,0.018910741301059002,0.754160363086233,0.6505295007564297,acoustic
poppin_party__443,443,poppin_party,最強☆ソング,0.5916051934637102,0.5393343419062028,0.7133131618759455,0.5052950075642966,bright
poppin_party__444,444,poppin_party,RiNG A BELL,0.5317578542184257,0.4470499243570348,0.3555219364599092,0.5052950075642966,bright
poppin_party__445,445,poppin_party,Drive Your Heart,0.4918883691664173,0.39107413010590014,0.9841149773071104,0.9258698940998488,neutral
poppin_party__446,446,poppin_party,とっておきAnswer,0.4350439806929087,0.3093797276853253,0.9931921331316188,0.6505295007564297,acoustic
poppin_party__447,447,poppin_party,START!! True dreams,0.4339667650402226,0.3048411497730711,0.6845688350983359,0.007564296520423601,neutral
poppin_party__448,448,poppin_party,どきどきデエト,0.4643899850364308,0.3426626323751891,0.970499243570348,0.5052950075642966,neutral
poppin_party__449,449,poppin_party,チョコレイトの低音レシピ,0.6276053142920971,0.5998487140695915,0.33963691376701965,0.6505295007564297,shimmer
poppin_party__450,450,poppin_party,Chu Chueen!,0.852995563674493,0.9069591527987897,0.00680786686838124,0.1800302571860817,neutral
poppin_party__451,451,poppin_party,どきどきSING OUT!,0.24473285798491057,0.094553706505295,0.8888048411497731,0.6505295007564297,acoustic
poppin_party__452,452,poppin_party,Freedom,0.2701317081076695,0.12329803328290469,0.2140695915279879,0.1800302571860817,acoustic
poppin_party__453,453,poppin_party,Game Changer,0.93120384651955,0.970499243570348,0.031013615733736764,0.094553706505295,bright
poppin_party__454,454,poppin_party,花園電気ギター！！！,0.6532126244500857,0.6452344931921331,0.12632375189107414,0.046142208774583963,bright
poppin_party__455,455,poppin_party,す、好きなんかじゃない！,0.3392872032210494,0.18835098335854766,0.13691376701966718,0.2503782148260212,acoustic
poppin_party__456,456,poppin_party,遠い音楽 ～ハートビート～,0.479895877447196,0.3608169440242057,0.7405446293494705,0.2503782148260212,neutral
poppin_party__457,457,poppin_party,ほな！,0.6932810871199132,0.7087745839636914,0.434947049924357,0.5052950075642966,shimmer
poppin_party__458,458,poppin_party,世界中の青空をあつめて,0.748844859902675,0.7859304084720121,0.5226928895612708,0.6505295007564297,bright
