idx,band,song,duration_sec,valence_median,valence_p10,valence_p90,valence_std,n_patches,extract_sec,error
194,morfonica,Wreath of Brave,263.23,5.8602,4.934,6.7256,0.6871,175,7.02,
196,morfonica,Sonorous,313.27,5.7851,4.7455,6.5012,0.6557,209,7.82,
198,morfonica,Steer to Utopia,216.27,5.3522,4.5898,5.9923,0.5785,144,6.18,
200,morfonica,ティリカモニカリラ,204.07,5.4167,4.6957,6.5316,0.7624,136,5.01,
199,morfonica,Fateful...,286.83,5.4844,4.5625,6.4178,0.7297,191,7.23,
201,morfonica,Secret Dawn,238.44,5.5314,4.2008,6.4862,0.8288,159,6.52,
202,morfonica,Angel's Ladder,253.4,5.5544,4.1436,6.3798,0.8413,169,6.81,
203,morfonica,One step at a time,263.74,5.6719,4.7726,6.4854,0.6911,176,7.04,
204,morfonica,Tempest,252.2,5.3072,4.2033,6.188,0.8003,168,6.43,
206,morfonica,MUGEN Reverberate!,230.33,5.1093,4.4524,6.0181,0.6287,153,5.52,
205,morfonica,フレージング ミラージュ,263.63,4.711,3.9807,5.3901,0.5551,176,6.76,
208,morfonica,esora no clover,193.87,5.1191,4.3293,6.2663,0.7067,129,5.38,
207,morfonica,わたしまちがいさがし,273.01,5.2778,4.4465,6.3839,0.7394,182,7.72,
209,morfonica,きょうもMerry go rounD,238.04,5.0593,3.7165,5.9633,0.8852,158,6.29,
210,morfonica,Feathered Dreams,226.37,5.8841,5.0047,6.5268,0.596,151,6.21,
212,morfonica,ビューティ・フォー,189.33,6.0527,4.9089,6.851,0.7604,126,4.86,
211,morfonica,Portray Empathy,253.3,5.9608,5.0376,6.7,0.6937,169,6.51,
213,morfonica,胡蝶翔る星月夜,204.67,5.6457,4.719,6.4383,0.6547,136,5.01,
216,morfonica,Shining Leaves,217.97,5.0993,4.1512,5.9725,0.7265,145,6.11,
214,morfonica,Color of Us,233.73,5.6415,4.8469,6.3144,0.5833,156,6.46,
215,morfonica,Resonant Strings,240.38,5.3615,4.4257,6.1125,0.6539,160,6.43,
219,morfonica,QUEEN (Cover),145.77,5.7489,4.9026,6.3139,0.6143,96,3.87,
218,morfonica,蒼穹へのトレイル,219.17,4.9399,3.9153,5.8419,0.7128,146,5.89,
217,morfonica,音がえしのセレナーデ,301.77,5.8675,4.8546,6.7466,0.7039,201,6.98,
223,morfonica,祝福 (Cover),194.27,5.7336,4.7063,6.5069,0.7368,129,4.8,
220,morfonica,again (Cover),250.8,5.829,4.7249,6.6743,0.7642,167,6.72,
222,morfonica,メロウ (Cover),249.2,6.0241,4.8942,6.84,0.7611,166,6.83,
221,morfonica,輪舞-revolution (Cover),273.5,6.0022,4.8104,6.7663,0.785,182,7.22,
224,morfonica,Overdose (Cover),194.03,6.0643,5.3938,6.7789,0.5277,129,5.57,
225,morfonica,かくれんぼ (Cover),298.7,5.1335,4.4067,6.0832,0.6558,199,7.3,
226,morfonica,chAngE (Cover),249.57,6.3513,4.8317,7.162,0.8503,166,6.51,
227,morfonica,ALIVE (Cover),216.03,5.3346,4.4603,6.1998,0.6747,144,5.71,
228,morfonica,Nameless Story (Cover),243.03,5.8621,4.5001,6.9505,0.9347,162,6.36,
229,morfonica,青空のラプソディ (Cover),277.37,5.6919,4.5647,6.5276,0.7226,185,6.88,
230,morfonica,Nevereverland (Cover),287.4,5.6035,4.4652,6.3874,0.7264,192,7.23,
231,morfonica,メリッサ (Cover),256.83,6.0556,5.1453,6.9195,0.6747,171,6.74,
232,morfonica,COLORFUL BOX (Cover),238.4,5.7675,4.6846,6.4923,0.6838,159,6.15,
233,morfonica,unravel (Cover),237.4,5.0744,3.9915,5.9611,0.8024,158,6.42,
235,morfonica,V.I.P (Cover),193.5,5.307,4.7056,5.9344,0.5174,129,5.88,
234,morfonica,アゲハ蝶 (Cover),280.67,6.1454,4.7213,6.9886,0.852,187,7.12,
236,morfonica,CQCQ (Cover),221.77,5.8138,4.7261,6.5478,0.7721,148,6.52,
237,mugendai_mutype,アイの夢限,200.5,5.4263,4.7565,6.0481,0.5059,133,5.53,
238,mugendai_mutype,どんがらがっしゃん,196.53,6.0411,5.3198,6.773,0.5479,131,5.22,
239,mugendai_mutype,みゅーたんとミュータント,220.27,6.011,5.3256,6.6067,0.4872,147,5.28,
240,mugendai_mutype,チューニング,196.02,4.9236,4.2244,5.4861,0.4809,130,4.83,
242,mugendai_mutype,グラディエント,201.02,5.8325,5.118,6.6196,0.58,134,5.08,
241,mugendai_mutype,Dream Voyage,262.32,5.6916,4.9227,6.4544,0.6417,175,6.92,
243,mugendai_mutype,LET'Sあちあちトレーニング！,206.5,5.3695,4.483,6.0714,0.6322,137,5.31,
244,mugendai_mutype,真夜中遊園地,230.0,5.1711,4.4383,5.9875,0.595,153,5.87,
246,mugendai_mutype,TRASH LIFE,213.02,5.3002,4.2767,6.1584,0.7459,142,5.3,
245,mugendai_mutype,テレパシー,254.0,5.1139,4.5613,5.6492,0.4416,169,6.98,
248,mugendai_mutype,コミュ着火Fire!,185.02,4.9916,3.7798,5.807,0.7675,123,4.67,
249,mugendai_mutype,Calling,182.22,5.0946,4.6261,5.6495,0.4181,121,5.28,
247,mugendai_mutype,新人類は仮想世界の夢を見るか?,234.02,5.4001,4.3531,6.3198,0.7123,156,6.41,
250,mugendai_mutype,Hi-Vision,180.5,5.4435,4.7403,6.1516,0.5238,120,4.63,
252,mugendai_mutype,✞animaるパーティ✞開催中✞,177.02,5.5421,4.5334,6.2685,0.6879,117,4.51,
251,mugendai_mutype,コハク,220.02,5.1931,4.242,5.9397,0.6673,146,6.22,
253,mugendai_mutype,エンプティパペット,186.02,5.7127,4.3757,6.4002,0.7678,124,4.8,
254,mugendai_mutype,限界現実サバイブ天使,196.02,5.5299,4.6149,6.2771,0.6265,130,4.79,
255,mugendai_mutype,ビッグマウス,173.02,5.4246,4.6519,6.2714,0.623,115,4.77,
256,mugendai_mutype,夢現妄想世界,212.19,5.4641,4.5637,6.1784,0.5977,141,5.56,
257,mugendai_mutype,やわやわNERD 超FreQuency,187.6,5.3625,4.5547,6.1721,0.6505,125,4.84,
258,mugendai_mutype,超惑星Xへの旅,173.63,5.5486,4.7167,6.567,0.6912,115,4.0,
259,mugendai_mutype,これはぼくたちの生存のあらすじ,234.77,5.3526,4.6147,6.0524,0.5535,156,6.22,
260,mygo,迷星叫,211.37,5.31,4.4689,6.0758,0.6542,141,5.39,
261,mygo,壱雫空,189.59,5.2434,4.6795,6.0459,0.5904,126,5.11,
