idx,band,song,duration_sec,speech_median,speech_p10,speech_p90,speech_std,n_frames,error,vad_speech_ratio,vad_n_frames,vad_error
256,mugendai_mutype,夢現妄想世界,,,,,,,no_stem,,,
257,mugendai_mutype,やわやわNERD 超FreQuency,,,,,,,no_stem,,,
258,mugendai_mutype,超惑星Xへの旅,,,,,,,no_stem,,,
259,mugendai_mutype,これはぼくたちの生存のあらすじ,,,,,,,no_stem,,,
260,mygo,迷星叫,211.37333333333333,0.07384708523750305,0.005217729602009058,0.23731091618537903,0.09823912382125854,421,,,,
261,mygo,壱雫空,189.58666666666667,0.09445227682590485,0.012765907682478428,0.2945694029331207,0.11707087606191635,378,,,,
262,mygo,碧天伴走,218.86666666666667,0.0721445381641388,0.009212568402290344,0.26835334300994873,0.11090254783630371,436,,,,
263,mygo,影色舞,,,,,,,no_stem,,,
264,mygo,歌いましょう鳴らしましょう,,,,,,,no_stem,,,
265,mygo,潜在表明,,,,,,,no_stem,,,
266,mygo,音一会,,,,,,,no_stem,,,
267,mygo,春日影 (MyGO!!!!! ver.),,,,,,,no_stem,,,
268,mygo,詩超絆,,,,,,,no_stem,,,
269,mygo,迷路日々,,,,,,,no_stem,,,
270,mygo,無路矢,,,,,,,no_stem,,,
271,mygo,名無声,,,,,,,no_stem,,,
272,mygo,栞,,,,,,,no_stem,,,
273,mygo,歩拾道,,,,,,,no_stem,,,
274,mygo,明弦音,,,,,,,no_stem,,,
275,mygo,孤壊牢,,,,,,,no_stem,,,
276,mygo,霧周途,,,,,,,no_stem,,,
277,mygo,端程山,,,,,,,no_stem,,,
278,mygo,処救生,,,,,,,no_stem,,,
279,mygo,輪符雨,,,,,,,no_stem,,,
280,mygo,夜隠染,,,,,,,no_stem,,,
281,mygo,過惰幻,,,,,,,no_stem,,,
282,mygo,回層浮,,,,,,,no_stem,,,
283,mygo,砂寸奏,,,,,,,no_stem,,,
284,mygo,焚音打,,,,,,,no_stem,,,
285,mygo,残痕字,,,,,,,no_stem,,,
286,mygo,掌心正銘,,,,,,,no_stem,,,
287,mygo,証命讃歌,,,,,,,no_stem,,,
288,mygo,エガクミライ,,,,,,,no_stem,,,
289,mygo,静降想,,,,,,,no_stem,,,
290,mygo,聿日箋秋,,,,,,,no_stem,,,
291,mygo,往欄印,,,,,,,no_stem,,,
292,mygo,だれかの心臓になれたなら (Cover),,,,,,,no_stem,,,
293,mygo,遥か彼方 (Cover),,,,,,,no_stem,,,
294,mygo,雑踏、僕らの街 (Cover),,,,,,,no_stem,,,
295,mygo,過去を喰らう (Cover),,,,,,,no_stem,,,
296,mygo,君の神様になりたい。 (Cover),,,,,,,no_stem,,,
297,mygo,ノンブレス・オブリージュ (Cover),,,,,,,no_stem,,,
298,mygo,swim (Cover),,,,,,,no_stem,,,
299,mygo,猛独が襲う (Cover),,,,,,,no_stem,,,
300,mygo,春日影,,,,,,,no_stem,,,
301,pastel_palettes,TITLE IDOL,268.3666666666667,0.0642465353012085,0.013734983280301094,0.24532745778560638,0.09260407090187073,535,,,,
302,pastel_palettes,ワクワクmeetsトリップ,247.3,0.07671704143285751,0.011270505376160145,0.22733601927757263,0.08949960023164749,493,,,,
303,pastel_palettes,ゆら・ゆらRing-Dong-Dance,265.1356462585034,0.0532948262989521,0.008934489451348782,0.20320920646190643,0.08468084782361984,529,,,,
304,pastel_palettes,もういちど ルミナス,,,,,,,no_stem,,,
305,pastel_palettes,あっつあつ 常夏 らぶ☆サマー！,,,,,,,no_stem,,,
306,pastel_palettes,天下トーイツ A to Z☆,,,,,,,no_stem,,,
307,pastel_palettes,しゅわりん☆どり〜みん,,,,,,,no_stem,,,
308,pastel_palettes,Power of LOVE!!!,,,,,,,no_stem,,,
309,pastel_palettes,きゅ～まい＊flower,,,,,,,no_stem,,,
310,pastel_palettes,Winking☆Cheer,,,,,,,no_stem,,,
311,pastel_palettes,ゆめゆめグラデーション,,,,,,,no_stem,,,
312,pastel_palettes,はなまる◎アンダンテ,,,,,,,no_stem,,,
313,pastel_palettes,パスパレボリューションず☆,,,,,,,no_stem,,,
314,pastel_palettes,SURVIVOR ねばーぎぶあっぷ!,,,,,,,no_stem,,,
315,pastel_palettes,Wonderland Girl,,,,,,,no_stem,,,
316,pastel_palettes,ゼッタイ宣言～Recital～,,,,,,,no_stem,,,
317,pastel_palettes,ぎゅっDAYS♪,,,,,,,no_stem,,,
318,pastel_palettes,Wonderful Sweet!,,,,,,,no_stem,,,
319,pastel_palettes,るんっ♪てぃてぃー！,,,,,,,no_stem,,,
320,pastel_palettes,パッパレ☆人生！バーン万歳！,,,,,,,no_stem,,,
321,pastel_palettes,Brand new Pastel Road!,,,,,,,no_stem,,,
322,pastel_palettes,あこがれacross,,,,,,,no_stem,,,
323,pastel_palettes,ハレハレ☆フォーチュン,,,,,,,no_stem,,,
324,pastel_palettes,ハナヒバナ,,,,,,,no_stem,,,
325,pastel_palettes,そばかす,,,,,,,no_stem,,,
326,pastel_palettes,気まぐれロマンティック,,,,,,,no_stem,,,
327,pastel_palettes,ドリームパレード,,,,,,,no_stem,,,
328,pastel_palettes,ラムのラブソング,,,,,,,no_stem,,,
329,pastel_palettes,DANCE! おジャ魔女,,,,,,,no_stem,,,
330,pastel_palettes,DISCOTHEQUE,,,,,,,no_stem,,,
331,pastel_palettes,ゆりゆららららゆるゆり大事件,,,,,,,no_stem,,,
332,pastel_palettes,SAKURAスキップ,,,,,,,no_stem,,,
333,pastel_palettes,Stay Alive,,,,,,,no_stem,,,
334,pastel_palettes,秘密の扉から会いにきて,,,,,,,no_stem,,,
335,pastel_palettes,トリドリ＊パレット,,,,,,,no_stem,,,
336,pastel_palettes,ドラマチック！アライブ,,,,,,,no_stem,,,
337,pastel_palettes,Radiate Warriors,,,,,,,no_stem,,,
338,pastel_palettes,ReReReエボリューションず☆,,,,,,,no_stem,,,
339,pastel_palettes,everyday flower,,,,,,,no_stem,,,
340,pastel_palettes,With〜きみとわたしたちの物語〜,,,,,,,no_stem,,,
341,pastel_palettes,フレっとパレットFight Song!!,,,,,,,no_stem,,,
342,pastel_palettes,デイオフ・ラフ・ラブ・サンクス,,,,,,,no_stem,,,
343,pastel_palettes,ホワイト ノスタルジア,,,,,,,no_stem,,,
344,pastel_palettes,Y.O.L.O！！！！！(パスパレver.),,,,,,,no_stem,,,
345,pastel_palettes,奏（かなで） (Cover),,,,,,,no_stem,,,
346,pastel_palettes,Sparkling Daydream (Cover),,,,,,,no_stem,,,
347,pastel_palettes,春を告げる (Cover),,,,,,,no_stem,,,
348,pastel_palettes,だから、ひとりじゃない (Cover),,,,,,,no_stem,,,
349,pastel_palettes,サインはB (Cover),,,,,,,no_stem,,,
350,pastel_palettes,愛包ダンスホール (Cover),,,,,,,no_stem,,,
351,pastel_palettes,最上級にかわいいの！ (Cover),,,,,,,no_stem,,,
352,pastel_palettes,♡桃色片想い♡ (Cover),,,,,,,no_stem,,,
353,pastel_palettes,金曜日のおはよう (Cover),,,,,,,no_stem,,,
354,pastel_palettes,魔法少女とチョコレゐト (Cover),,,,,,,no_stem,,,
355,pastel_palettes,可愛くてごめん (Cover),,,,,,,no_stem,,,
356,pastel_palettes,からくりピエロ (Cover),,,,,,,no_stem,,,
357,pastel_palettes,みくみくにしてあげる♪【してやんよ】 (Cover),,,,,,,no_stem,,,
358,pastel_palettes,ルカルカ★ナイトフィーバー (Cover),,,,,,,no_stem,,,
359,pastel_palettes,アイドル (Cover),,,,,,,no_stem,,,
360,pastel_palettes,secret base ～君がくれたもの～ (Cover),,,,,,,no_stem,,,
361,pastel_palettes,ふわふわ時間 (Cover),,,,,,,no_stem,,,
362,pastel_palettes,Fantastic future (Cover),,,,,,,no_stem,,,
363,pastel_palettes,Baby Sweet Berry Love (Cover),,,,,,,no_stem,,,
364,pastel_palettes,Q＆A　リサイタル！ (Cover),,,,,,,no_stem,,,
365,pastel_palettes,ヒトリゴト (Cover),,,,,,,no_stem,,,
366,pastel_palettes,惑星ループ (Cover),,,,,,,no_stem,,,
367,pastel_palettes,世界は恋に落ちている (Cover),,,,,,,no_stem,,,
368,pastel_palettes,ハッピーシンセサイザ (Cover),,,,,,,no_stem,,,
369,pastel_palettes,春擬き (Cover),,,,,,,no_stem,,,
370,pastel_palettes,Make it! (Cover),,,,,,,no_stem,,,
371,pastel_palettes,花ハ踊レヤいろはにほ (Cover),,,,,,,no_stem,,,
372,pastel_palettes,夜に駆ける (Cover),,,,,,,no_stem,,,
373,pastel_palettes,徒花ネクロマンシー (Cover),,,,,,,no_stem,,,
374,pastel_palettes,ノスタルジックレインフォール (Cover),,,,,,,no_stem,,,
