idx,band,song,m1-duration_sec,m1-bpm_madmom,m1-beat_count,expected_beat_count,diff_beat_count,abs_diff_beat_count
205,morfonica,フレージング ミラージュ,263.35,187.500000000004,825.0,822.9687500000177,2.031249999982265,2.031249999982265
206,morfonica,MUGEN Reverberate!,230.15,187.500000000004,722.0,719.2187500000153,2.7812499999846523,2.7812499999846523
207,morfonica,わたしまちがいさがし,272.78,181.8181818181749,821.0,826.6060606060291,-5.606060606029132,5.606060606029132
208,morfonica,esora no clover,193.6,162.16216216216017,528.0,523.2432432432367,4.756756756763252,4.756756756763252
209,morfonica,きょうもMerry go rounD,237.6,133.3333333333367,532.0,528.0000000000133,3.9999999999866986,3.9999999999866986
210,morfonica,Feathered Dreams,226.14,176.47058823529235,661.0,665.1176470588168,-4.117647058816829,4.117647058816829
211,morfonica,Portray Empathy,253.29,171.4285714285742,727.0,723.685714285726,3.3142857142739786,3.3142857142739786
212,morfonica,ビューティ・フォー,189.03,199.9999999999924,623.0,630.0999999999761,-7.0999999999761485,7.0999999999761485
213,morfonica,胡蝶翔る星月夜,204.03,100.00000000000006,340.0,340.0500000000002,-0.0500000000001819,0.0500000000001819
214,morfonica,Color of Us,233.45,193.5483870967728,756.0,753.0645161290269,2.935483870973144,2.935483870973144
215,morfonica,Resonant Strings,240.1,193.5483870967728,781.0,774.5161290322525,6.483870967747521,6.483870967747521
216,morfonica,Shining Leaves,217.94,187.49999999999568,673.0,681.0624999999843,-8.062499999984311,8.062499999984311
217,morfonica,音がえしのセレナーデ,301.47,181.8181818181906,823.0,913.5454545454987,-90.54545454549873,90.54545454549873
218,morfonica,蒼穹へのトレイル,218.91,193.5483870967728,701.0,706.1612903225756,-5.16129032257561,5.16129032257561
219,morfonica,QUEEN (Cover),145.5,171.4285714285707,414.0,415.714285714284,-1.714285714284017,1.714285714284017
220,morfonica,again (Cover),250.79,139.53488372093034,584.0,583.2325581395354,0.7674418604646007,0.7674418604646007
221,morfonica,輪舞-revolution (Cover),273.15,127.6595744680854,583.0,581.1702127659587,1.829787234041305,1.829787234041305
222,morfonica,メロウ (Cover),248.9,146.34146341463284,601.0,607.073170731702,-6.073170731702021,6.073170731702021
223,morfonica,祝福 (Cover),194.01,171.4285714285707,551.0,554.3142857142833,-3.314285714283301,3.314285714283301
224,morfonica,Overdose (Cover),193.7,117.64705882352987,382.0,379.8039215686289,2.19607843137112,2.19607843137112
225,morfonica,かくれんぼ (Cover),298.45,181.8181818181749,896.0,904.393939393905,-8.393939393905043,8.393939393905043
226,morfonica,chAngE (Cover),249.29,166.66666666666035,688.0,692.4722222221959,-4.47222222219591,4.47222222219591
227,morfonica,ALIVE (Cover),215.88,181.8181818181749,645.0,654.1818181817932,-9.181818181793233,9.181818181793233
228,morfonica,Nameless Story (Cover),242.85,193.5483870967728,790.0,783.387096774188,6.612903225812033,6.612903225812033
229,morfonica,青空のラプソディ (Cover),277.13,136.3636363636354,625.0,629.8409090909047,-4.840909090904688,4.840909090904688
230,morfonica,Nevereverland (Cover),286.91,200.0000000000019,739.0,956.3666666666759,-217.36666666667588,217.36666666667588
231,morfonica,メリッサ (Cover),256.61,171.4285714285707,729.0,733.1714285714255,-4.171428571425508,4.171428571425508
232,morfonica,COLORFUL BOX (Cover),238.39,162.16216216216017,644.0,644.2972972972893,-0.2972972972893331,0.2972972972893331
233,morfonica,unravel (Cover),237.13,136.36363636362827,533.0,538.9318181817862,-5.931818181786184,5.931818181786184
234,morfonica,アゲハ蝶 (Cover),280.19,115.38461538461628,542.0,538.8269230769273,3.173076923072699,3.173076923072699
235,morfonica,V.I.P (Cover),193.32,187.49999999999568,597.0,604.124999999986,-7.1249999999860165,7.1249999999860165
236,morfonica,CQCQ (Cover),221.29,142.85714285714712,530.0,526.8809523809681,3.119047619031903,3.119047619031903
237,mugendai_mutype,アイの夢限,200.19,122.44897959183535,487.0,408.55102040815865,78.44897959184135,78.44897959184135
238,mugendai_mutype,どんがらがっしゃん,196.08,133.33333333332828,432.0,435.73333333331686,-3.733333333316864,3.733333333316864
239,mugendai_mutype,みゅーたんとミュータント,219.85,149.99999999999787,550.0,549.6249999999922,0.3750000000078444,0.3750000000078444
240,mugendai_mutype,チューニング,195.77,96.7741935483886,319.0,315.75806451613397,3.2419354838660297,3.2419354838660297
241,mugendai_mutype,Dream Voyage,261.96,157.8947368421057,685.0,689.3684210526334,-4.36842105263338,4.36842105263338
242,mugendai_mutype,グラディエント,201.01,120.0,403.0,402.0199999999999,0.980000000000075,0.980000000000075
243,mugendai_mutype,LET'Sあちあちトレーニング！,206.29,176.47058823529605,595.0,606.7352941176537,-11.735294117653666,11.735294117653666
244,mugendai_mutype,真夜中遊園地,229.73,193.5483870967728,747.0,741.064516129027,5.93548387097303,5.93548387097303
245,mugendai_mutype,テレパシー,253.7,176.4705882352942,755.0,746.1764705882356,8.823529411764412,8.823529411764412
246,mugendai_mutype,TRASH LIFE,212.74,176.47058823529972,564.0,625.705882352961,-61.705882352961,61.705882352961
247,mugendai_mutype,新人類は仮想世界の夢を見るか?,233.86,181.8181818181749,702.0,708.6666666666398,-6.666666666639799,6.666666666639799
248,mugendai_mutype,コミュ着火Fire!,184.71,200.0000000000007,616.0,615.7000000000022,0.2999999999977945,0.2999999999977945
249,mugendai_mutype,Calling,182.22,176.47058823529235,532.0,535.941176470583,-3.9411764705829455,3.9411764705829455
250,mugendai_mutype,Hi-Vision,179.91,200.0000000000019,491.0,599.7000000000057,-108.70000000000573,108.70000000000573
251,mugendai_mutype,コハク,219.72,98.36065573770502,423.0,360.19672131147576,62.803278688524244,62.803278688524244
252,mugendai_mutype,✞animaるパーティ✞開催中✞,176.9,193.5483870967728,575.0,570.6451612903185,4.35483870968153,4.35483870968153
253,mugendai_mutype,エンプティパペット,185.85,124.99999999999989,388.0,387.18749999999966,0.8125000000003411,0.8125000000003411
254,mugendai_mutype,限界現実サバイブ天使,195.78,187.500000000004,617.0,611.8125000000131,5.187499999986926,5.187499999986926
255,mugendai_mutype,ビッグマウス,172.71,146.34146341463284,418.0,421.24390243902064,-3.243902439020644,3.243902439020644
256,mugendai_mutype,夢現妄想世界,211.92,193.5483870967728,689.0,683.6129032258016,5.387096774198426,5.387096774198426
257,mugendai_mutype,やわやわNERD 超FreQuency,187.32,146.34146341463537,462.0,456.8780487804916,5.121951219508389,5.121951219508389
258,mugendai_mutype,超惑星Xへの旅,173.27,136.36363636363706,394.0,393.7954545454566,0.20454545454339268,0.20454545454339268
259,mugendai_mutype,これはぼくたちの生存のあらすじ,234.49,193.5483870967728,747.0,756.4193548387043,-9.419354838704294,9.419354838704294
260,mygo,迷星叫,211.19,187.500000000004,669.0,659.9687500000141,9.031249999985903,9.031249999985903
261,mygo,壱雫空,188.95,200.0000000000019,546.0,629.8333333333393,-83.83333333333928,83.83333333333928
262,mygo,碧天伴走,218.58,193.5483870967728,700.0,705.0967741935434,-5.0967741935434105,5.0967741935434105
263,mygo,影色舞,209.15,166.66666666666694,580.0,580.9722222222232,-0.9722222222231949,0.9722222222231949
264,mygo,歌いましょう鳴らしましょう,176.31,222.22222222222257,653.0,653.000000000001,-1.0231815394945443e-12,1.0231815394945443e-12
265,mygo,潜在表明,261.67,136.36363636363487,590.0,594.7045454545389,-4.704545454538902,4.704545454538902
266,mygo,音一会,282.01,199.99999999999952,936.0,940.033333333331,-4.033333333331029,4.033333333331029
267,mygo,春日影 (MyGO!!!!! ver.),256.32,193.5483870967728,829.0,826.8387096774134,2.1612903225866376,2.1612903225866376
268,mygo,詩超絆,236.34,187.49999999999983,612.0,738.5624999999994,-126.56249999999943,126.56249999999943
269,mygo,迷路日々,215.27,133.33333333332828,558.0,478.37777777775966,79.62222222224034,79.62222222224034
270,mygo,無路矢,222.58,120.0,446.0,445.16,0.839999999999975,0.839999999999975
271,mygo,名無声,271.65,187.500000000004,860.0,848.9062500000181,11.093749999981924,11.093749999981924
272,mygo,栞,265.58,88.23529411764618,387.0,390.55882352940785,-3.558823529407846,3.558823529407846
273,mygo,歩拾道,260.27,130.43478260869338,564.0,565.8043478260771,-1.8043478260771053,1.8043478260771053
274,mygo,明弦音,243.73,187.49999999999568,753.0,761.6562499999824,-8.656249999982379,8.656249999982379
275,mygo,孤壊牢,215.32,181.81818181818275,655.0,652.4848484848518,2.5151515151482045,2.5151515151482045
276,mygo,霧周途,221.9,222.2222222222138,812.0,821.8518518518207,-9.851851851820697,9.851851851820697
277,mygo,端程山,260.77,181.8181818181749,784.0,790.2121212120911,-6.21212121209112,6.21212121209112
278,mygo,処救生,217.19,193.5483870967728,692.0,700.6129032258015,-8.61290322580146,8.61290322580146
279,mygo,輪符雨,207.23,153.8461538461536,532.0,531.3589743589735,0.6410256410265447,0.6410256410265447
280,mygo,夜隠染,200.38,111.11111111111276,373.0,371.0740740740796,1.92592592592041,1.92592592592041
281,mygo,過惰幻,237.44,166.6666666666735,541.0,659.5555555555826,-118.5555555555826,118.5555555555826
282,mygo,回層浮,260.75,98.3606557377073,431.0,427.459016393453,3.5409836065470017,3.5409836065470017
283,mygo,砂寸奏,223.57,181.81818181818275,679.0,677.4848484848519,1.5151515151480908,1.5151515151480908
284,mygo,焚音打,242.45,187.500000000004,757.0,757.6562500000161,-0.6562500000161435,0.6562500000161435
285,mygo,残痕字,255.06,176.47058823529235,746.0,750.1764705882277,-4.176470588227744,4.176470588227744
286,mygo,掌心正銘,221.18,181.81818181818275,676.0,670.2424242424277,5.75757575757234,5.75757575757234
287,mygo,証命讃歌,191.91,206.8965517241436,671.0,661.7586206896733,9.241379310326693,9.241379310326693
288,mygo,エガクミライ,238.93,88.23529411764618,353.0,351.36764705882,1.6323529411799882,1.6323529411799882
289,mygo,静降想,277.61,93.75000000000097,435.0,433.7656250000045,1.2343749999955094,1.2343749999955094
290,mygo,聿日箋秋,236.07,181.81818181818275,717.0,715.36363636364,1.636363636359988,1.636363636359988
291,mygo,往欄印,297.87,181.8181818181749,876.0,902.6363636363293,-26.636363636329293,26.636363636329293
292,mygo,だれかの心臓になれたなら (Cover),235.88,146.34146341462522,538.0,575.3170731706966,-37.31707317069663,37.31707317069663
293,mygo,遥か彼方 (Cover),248.76,171.4285714285742,653.0,710.7428571428686,-57.742857142868615,57.742857142868615
294,mygo,雑踏、僕らの街 (Cover),187.95,171.42857142857247,542.0,537.0000000000032,4.999999999996817,4.999999999996817
295,mygo,過去を喰らう (Cover),240.32,187.49999999999983,749.0,750.9999999999993,-1.9999999999993179,1.9999999999993179
296,mygo,君の神様になりたい。 (Cover),248.73,98.36065573770492,406.0,407.75409836065575,-1.754098360655746,1.754098360655746
297,mygo,ノンブレス・オブリージュ (Cover),206.82,146.34146341463537,510.0,504.4390243902481,5.5609756097518925,5.5609756097518925
298,mygo,swim (Cover),209.33,193.5483870967728,679.0,675.2580645161244,3.7419354838756362,3.7419354838756362
299,mygo,猛独が襲う (Cover),254.31,157.89473684210125,664.0,669.2368421052462,-5.236842105246183,5.236842105246183
300,mygo,春日影,122.7,187.49999999999568,274.0,383.43749999999113,-109.43749999999113,109.43749999999113
301,pastel_palettes,TITLE IDOL,267.89,146.34146341463284,647.0,653.3902439024332,-6.3902439024332125,6.3902439024332125
302,pastel_palettes,ワクワクmeetsトリップ,246.83,136.36363636363706,564.0,560.9772727272756,3.02272727272441,3.02272727272441
303,pastel_palettes,ゆら・ゆらRing-Dong-Dance,264.84,171.4285714285742,760.0,756.6857142857265,3.314285714273524,3.314285714273524
304,pastel_palettes,もういちど ルミナス,259.77,171.4285714285603,733.0,742.1999999999517,-9.199999999951729,9.199999999951729
305,pastel_palettes,あっつあつ 常夏 らぶ☆サマー！,246.86,171.4285714285742,710.0,705.3142857142972,4.685714285702829,4.685714285702829
306,pastel_palettes,天下トーイツ A to Z☆,218.14,153.8461538461536,556.0,559.3333333333325,-3.3333333333324617,3.3333333333324617
307,pastel_palettes,しゅわりん☆どり〜みん,236.08,176.47058823529235,694.0,694.3529411764637,-0.3529411764636734,0.3529411764636734
308,pastel_palettes,Power of LOVE!!!,231.53,176.47058823529235,678.0,680.9705882352872,-2.9705882352872095,2.9705882352872095
309,pastel_palettes,きゅ～まい＊flower,220.29,181.81818181818275,672.0,667.5454545454579,4.454545454542085,4.454545454542085
310,pastel_palettes,Winking☆Cheer,309.58,100.00000000000097,516.0,515.9666666666716,0.03333333332841448,0.03333333332841448
311,pastel_palettes,ゆめゆめグラデーション,284.26,136.36363636363487,639.0,646.0454545454473,-7.045454545447342,7.045454545447342
312,pastel_palettes,はなまる◎アンダンテ,226.25,166.66666666666694,628.0,628.4722222222232,-0.4722222222231949,0.4722222222231949
313,pastel_palettes,パスパレボリューションず☆,231.04,176.47058823529235,674.0,679.529411764699,-5.529411764699034,5.529411764699034
314,pastel_palettes,SURVIVOR ねばーぎぶあっぷ!,248.46,200.0,828.0,828.2,-0.20000000000004547,0.20000000000004547
