idx,official_bpm,ratio,octave_class,m1-bpm_madmom,m1-tempo_category,official_category,category_flipped
120,194.0,0.9976720984369732,,193.5483870967728,fast,fast,False
121,230.0,0.5016722408026657,half(0.5x),115.38461538461311,medium,boost,True
122,130.0,1.0033444816053336,,130.43478260869338,medium,medium,False
123,172.0,0.9966777408638036,,171.4285714285742,fast,fast,False
124,184.0,0.9881422924901664,,181.8181818181906,fast,fast,False
125,160.0,1.0135135135135012,,162.16216216216017,fast,fast,False
126,165.0,1.0101010101009718,,166.66666666666035,fast,fast,False
127,135.0,1.0101010101009664,,136.36363636363046,medium,medium,False
128,184.0,0.9881422924901664,,181.8181818181906,fast,fast,False
129,138.0,1.011122345803826,,139.534883720928,medium,medium,False
130,128.0,0.9973404255319172,,127.6595744680854,medium,medium,False
131,79.0,0.9993337774816908,,78.94736842105358,slow,slow,False
132,163.0,0.9948598905654128,,162.16216216216228,fast,fast,False
133,143.0,0.9990009990009948,,142.85714285714226,medium,medium,False
134,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
135,162.0,1.0010010010009889,,162.16216216216017,fast,fast,False
136,134.0,0.9950248756219155,,133.3333333333367,medium,medium,False
137,140.0,0.996677740863788,,139.53488372093034,medium,medium,False
138,145.0,1.0092514718250627,,146.3414634146341,medium,medium,False
139,117.0,1.0055304172951132,,117.64705882352824,medium,medium,False
140,129.0,0.9896091044037704,,127.65957446808638,medium,medium,False
141,178.0,0.9914077990746866,,176.4705882352942,fast,fast,False
142,130.0,1.0033444816053336,,130.43478260869338,medium,medium,False
143,158.0,0.9993337774816908,,157.89473684210716,medium,medium,False
144,140.0,0.996677740863788,,139.53488372093034,medium,medium,False
145,150.0,0.9999999999999858,,149.99999999999787,medium,medium,False
146,158.0,1.998667554963307,double(2x),315.7894736842025,boost,medium,True
147,137.0,0.9953550099535552,,136.36363636363706,medium,medium,False
148,165.0,1.0101010101009718,,166.66666666666035,fast,fast,False
149,127.0,1.005193499748704,,127.6595744680854,medium,medium,False
150,220.0,0.4958677685950567,half(0.5x),109.09090909091248,medium,boost,True
151,143.0,0.9990009990009948,,142.85714285714226,medium,medium,False
152,130.0,1.0033444816053492,,130.4347826086954,medium,medium,False
154,200.0,1.0000000000000009,,200.0000000000001,fast,fast,False
155,147.0,0.9955201592832338,,146.34146341463537,medium,medium,False
156,183.0,0.9935419771485396,,181.81818181818275,fast,fast,False
157,135.0,1.010101010100999,,136.36363636363487,medium,medium,False
158,132.0,1.0101010101009718,,133.33333333332828,medium,medium,False
159,147.0,0.9955201592832338,,146.34146341463537,medium,medium,False
160,158.0,0.9993337774816908,,157.89473684210716,medium,medium,False
161,125.0,0.9999999999999992,,124.99999999999989,medium,medium,False
162,220.0,1.0101010101009718,,222.2222222222138,boost,boost,False
163,140.0,0.9966777408637716,,139.534883720928,medium,medium,False
164,152.0,1.0121457489878158,,153.846153846148,medium,medium,False
165,145.0,1.009251471825054,,146.34146341463284,medium,medium,False
166,160.0,0.9868421052631696,,157.89473684210716,medium,fast,True
167,134.0,0.9950248756219,,133.3333333333346,medium,medium,False
168,134.0,0.9950248756219155,,133.3333333333367,medium,medium,False
169,250.0,0.4999999999999995,half(0.5x),124.99999999999989,medium,boost,True
170,124.0,1.0080645161290238,,124.99999999999896,medium,medium,False
171,170.0,1.0084033613445336,,171.4285714285707,fast,fast,False
172,168.0,0.9920634920634936,,166.66666666666694,fast,fast,False
173,148.0,0.9887936717205092,,146.34146341463537,medium,medium,False
174,153.0,1.0055304172951216,,153.8461538461536,medium,medium,False
175,158.0,0.9993337774816908,,157.89473684210716,medium,medium,False
176,110.0,0.9917355371901134,,109.09090909091248,medium,medium,False
177,183.0,0.9935419771485396,,181.81818181818275,fast,fast,False
180,185.0,1.0135135135134448,,187.49999999998727,fast,fast,False
181,181.0,1.0045203415369213,,181.81818181818275,fast,fast,False
182,190.0,0.986842105263179,,187.500000000004,fast,fast,False
183,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
184,185.0,1.01351351351349,,187.49999999999568,fast,fast,False
185,170.0,1.0084033613445336,,171.4285714285707,fast,fast,False
186,175.0,1.0084033613445278,,176.47058823529235,fast,fast,False
187,174.0,1.0141987829614505,,176.47058823529235,fast,fast,False
188,182.0,0.999000999001004,,181.81818181818275,fast,fast,False
189,110.0,0.9917355371901134,,109.09090909091248,medium,medium,False
190,184.0,0.9881422924901664,,181.8181818181906,fast,fast,False
191,205.0,1.0092514718250414,,206.89655172413347,fast,fast,False
192,195.0,0.9925558312655016,,193.5483870967728,fast,fast,False
193,153.0,1.0055304172951216,,153.8461538461536,medium,medium,False
194,135.0,1.0101010101009826,,136.36363636363265,medium,medium,False
195,145.0,1.0092514718250365,,146.34146341463028,medium,medium,False
196,132.0,1.0101010101009718,,133.33333333332828,medium,medium,False
197,172.0,0.9966777408638036,,171.4285714285742,fast,fast,False
198,195.0,0.9925558312655016,,193.5483870967728,fast,fast,False
199,132.0,1.0101010101009718,,133.33333333332828,medium,medium,False
200,140.0,0.996677740863788,,139.53488372093034,medium,medium,False
201,131.0,0.9956853634251556,,130.4347826086954,medium,medium,False
