idx,band,song,duration_sec,acoustic_median,acoustic_p10,acoustic_p90,acoustic_std,n_patches,extract_sec,error
147,hello_happy_world,とーくとぅみー・とーくとぅゆー,208.57,3.2534047932131216e-05,1.5253672245307826e-06,0.0009659946663305163,0.04544786363840103,139,5.76,
148,hello_happy_world,ハイタッチ／＼びりーばーず☆,254.37,0.00130220886785537,5.563873128267005e-05,0.20386730134487152,0.20870845019817352,169,6.45,
149,hello_happy_world,Listen to Smile!,244.17,0.01475389301776886,0.0008273057173937559,0.3947641849517822,0.2081305980682373,163,6.14,
152,hello_happy_world,上海ハニー (Cover),178.23,0.0006199462804943323,5.75051162741147e-05,0.0034779165871441364,0.011084574274718761,118,4.53,
153,hello_happy_world,シル・ヴ・プレジデント (Cover),193.5,5.513011274160817e-05,1.007159653454437e-06,0.0025239293463528156,0.1329566240310669,129,5.39,
150,hello_happy_world,スマイリーキャロル,247.07,0.045752257108688354,0.0019941937644034624,0.44400933384895325,0.21462848782539368,165,6.39,
151,hello_happy_world,えがお、み〜っけた！,270.2,7.824471686035395e-05,2.0143256733717863e-06,0.008097360841929913,0.0980037972331047,180,6.89,
155,hello_happy_world,はいよろこんで (Cover),160.23,0.0005361182847991586,2.5983696104958653e-05,0.08639271557331085,0.10753343999385834,106,4.72,
154,hello_happy_world,ヒャダインのじょーじょーゆーじょー (Cover),251.1,0.00019701269047800452,4.365952918305993e-06,0.00520568760111928,0.03377678245306015,167,6.71,
157,hello_happy_world,強風オールバック (Cover),135.1,6.174450390972197e-05,6.022520665283082e-06,0.0003330203762743622,0.0006093747797422111,89,3.62,
156,hello_happy_world,シカ色デイズ (Cover),202.17,0.0006468649953603745,5.603110548690893e-05,0.029789285734295845,0.06233140081167221,134,5.32,
159,hello_happy_world,許婚っきゅん (Cover),177.47,0.0005713602295145392,5.4770462156739086e-05,0.012852909974753857,0.015209113247692585,118,4.35,
158,hello_happy_world,最高到達点 (Cover),226.67,0.0011108118342235684,9.053859685081989e-05,0.17181678116321564,0.1310426890850067,151,5.75,
161,hello_happy_world,ドレミファロンド (Cover),200.63,0.003007511142641306,0.0005909474566578865,0.05010219290852547,0.04660705476999283,133,5.01,
160,hello_happy_world,新宝島 (Cover),251.2,0.00014036816719453782,6.8352578637131955e-06,0.015332002192735672,0.09821660816669464,167,6.65,
162,hello_happy_world,きゅうくらりん (Cover),214.83,6.442917947424576e-05,7.176444341894239e-06,0.46471184492111206,0.24085992574691772,143,5.62,
164,hello_happy_world,エイリアンエイリアン (Cover),183.13,6.86382336425595e-05,1.621050387257128e-06,0.01579011045396328,0.01614416018128395,122,4.8,
163,hello_happy_world,ロメオ (Cover),320.2,0.0009407241595908999,3.2707397622289136e-05,0.07181853801012039,0.13254445791244507,214,8.34,
165,hello_happy_world,いーあるふぁんくらぶ (Cover),239.67,0.00019762877491302788,1.2626558600459248e-05,0.0137705747038126,0.037957701832056046,160,6.76,
166,hello_happy_world,回レ！雪月花 (Cover),234.83,6.954486161703244e-05,3.4696081456786487e-06,0.004923657979816198,0.022667063400149345,156,6.29,
167,hello_happy_world,恋愛裁判 (Cover),223.13,0.0013056682655587792,9.12287796381861e-05,0.0509183295071125,0.12214773148298264,148,6.14,
168,hello_happy_world,TOMORROW (Cover),274.9,3.612428918131627e-05,2.2303556761471555e-06,0.007111832033842802,0.0692359209060669,183,7.25,
169,hello_happy_world,GO! GO! MANIAC (Cover),249.1,1.180467734229751e-05,4.6326442770805443e-07,0.00033049355261027813,0.005527062341570854,166,7.11,
170,hello_happy_world,Dragon Night (Cover),228.73,0.0005956314853392541,5.927098456481872e-08,0.16685599088668823,0.1688058227300644,152,6.6,
171,hello_happy_world,ようこそジャパリパークへ (Cover),206.23,9.277079516323283e-05,7.254882802953944e-06,0.006715614814311266,0.017762288451194763,137,6.2,
173,hello_happy_world,おジャ魔女カーニバル!! (Cover),217.37,5.1074632210657e-05,1.8381413156021154e-06,0.006021115463227034,0.011209928430616856,145,5.73,
172,hello_happy_world,ウィーアー！ (Cover),241.13,6.233535532373935e-05,3.7900929328316124e-06,0.0008089676848612726,0.030630022287368774,161,6.28,
174,hello_happy_world,ダーリンダンス (Cover),207.63,1.1429547157604247e-05,6.806532724112913e-07,0.0001305559853790328,0.006430724170058966,138,5.71,
175,hello_happy_world,ノーポイッ！ (Cover),242.97,0.0008712336421012878,4.9933856644202024e-05,0.01783141866326332,0.03202923387289047,162,6.12,
177,hello_happy_world,シルエット (Cover),241.03,4.1070336010307074e-05,2.248558303108439e-06,0.0007385261123999953,0.009030739776790142,160,6.4,
176,hello_happy_world,SHINY DAYS (Cover),262.6,0.0021545742638409138,0.00012262210657354444,0.08062062412500381,0.14598414301872253,175,7.09,
178,ikka_dumb_rock,ホーミー・タイッ！！,215.43,1.4365368770086206e-05,6.419944611479877e-07,0.0003996084851678461,0.002775021130219102,143,6.19,
179,millsage,起死開戦,195.32,0.0006763997953385115,6.926904916326748e-06,0.47874927520751953,0.2726486921310425,130,5.67,
181,morfonica,メランコリックララバイ,216.07,2.7161809157405514e-06,1.0030200314758986e-07,0.007333148270845413,0.09893056005239487,144,4.87,
180,morfonica,Daylight -デイライト-,357.29,4.6456457880594826e-07,1.515317649136705e-08,0.00010773041867651045,0.0019189947051927447,239,10.05,
182,morfonica,flame of hope,252.94,3.753233841052861e-06,1.3245917784843186e-07,4.651239942177199e-05,0.006129677873104811,168,7.16,
184,morfonica,カラフルリバティー,218.83,6.827602919656783e-05,1.924251137097599e-06,0.003359029768034816,0.013195740059018135,146,6.46,
