idx,tag,band,song,selected_bpm_m2,selected_bpm_m5,switched
227,morfonica__227,morfonica,ALIVE (Cover),178.2,178.2,False
228,morfonica__228,morfonica,Nameless Story (Cover),195.0,195.0,False
229,morfonica__229,morfonica,青空のラプソディ (Cover),136.0,136.0,False
230,morfonica__230,morfonica,Nevereverland (Cover),206.8,206.8,False
231,morfonica__231,morfonica,メリッサ (Cover),169.4,169.4,False
232,morfonica__232,morfonica,COLORFUL BOX (Cover),161.5,161.5,False
233,morfonica__233,morfonica,unravel (Cover),136.0,136.0,False
234,morfonica__234,morfonica,アゲハ蝶 (Cover),114.8,114.8,False
235,morfonica__235,morfonica,V.I.P (Cover),184.6,184.6,False
236,morfonica__236,morfonica,CQCQ (Cover),143.6,143.6,False
237,mugendai_mutype__237,mugendai_mutype,アイの夢限,120.2,120.2,False
238,mugendai_mutype__238,mugendai_mutype,どんがらがっしゃん,132.5,132.5,False
239,mugendai_mutype__239,mugendai_mutype,みゅーたんとミュータント,152.0,152.0,False
240,mugendai_mutype__240,mugendai_mutype,チューニング,195.0,195.0,False
241,mugendai_mutype__241,mugendai_mutype,Dream Voyage,156.6,156.6,False
242,mugendai_mutype__242,mugendai_mutype,グラディエント,120.2,120.2,False
243,mugendai_mutype__243,mugendai_mutype,LET'Sあちあちトレーニング！,178.2,178.2,False
244,mugendai_mutype__244,mugendai_mutype,真夜中遊園地,195.0,195.0,False
245,mugendai_mutype__245,mugendai_mutype,テレパシー,178.2,59.39999999999999,True
246,mugendai_mutype__246,mugendai_mutype,TRASH LIFE,120.2,120.2,False
247,mugendai_mutype__247,mugendai_mutype,新人類は仮想世界の夢を見るか?,181.4,181.4,False
248,mugendai_mutype__248,mugendai_mutype,コミュ着火Fire!,198.8,198.8,False
249,mugendai_mutype__249,mugendai_mutype,Calling,175.2,175.2,False
250,mugendai_mutype__250,mugendai_mutype,Hi-Vision,202.6,202.6,False
251,mugendai_mutype__251,mugendai_mutype,コハク,195.0,195.0,False
252,mugendai_mutype__252,mugendai_mutype,✞animaるパーティ✞開催中✞,195.0,195.0,False
253,mugendai_mutype__253,mugendai_mutype,エンプティパペット,126.0,126.0,False
254,mugendai_mutype__254,mugendai_mutype,限界現実サバイブ天使,188.0,188.0,False
255,mugendai_mutype__255,mugendai_mutype,ビッグマウス,143.6,143.6,False
256,mugendai_mutype__256,mugendai_mutype,夢現妄想世界,195.0,195.0,False
257,mugendai_mutype__257,mugendai_mutype,やわやわNERD 超FreQuency,147.7,147.7,False
258,mugendai_mutype__258,mugendai_mutype,超惑星Xへの旅,136.0,136.0,False
259,mugendai_mutype__259,mugendai_mutype,これはぼくたちの生存のあらすじ,191.4,191.4,False
260,mygo__260,mygo,迷星叫,191.4,191.4,False
261,mygo__261,mygo,壱雫空,202.6,202.6,False
262,mygo__262,mygo,碧天伴走,191.4,191.4,False
263,mygo__263,mygo,影色舞,166.7,166.7,False
264,mygo__264,mygo,歌いましょう鳴らしましょう,220.0,73.33333333333333,True
265,mygo__265,mygo,潜在表明,136.0,136.0,False
266,mygo__266,mygo,音一会,198.8,198.8,False
267,mygo__267,mygo,春日影 (MyGO!!!!! ver.),195.0,65.0,True
268,mygo__268,mygo,詩超絆,191.4,191.4,False
269,mygo__269,mygo,迷路日々,129.2,129.2,False
270,mygo__270,mygo,無路矢,120.2,120.2,False
271,mygo__271,mygo,名無声,191.4,191.4,False
272,mygo__272,mygo,栞,175.2,58.39999999999999,True
273,mygo__273,mygo,歩拾道,129.2,129.2,False
274,mygo__274,mygo,明弦音,184.6,184.6,False
275,mygo__275,mygo,孤壊牢,181.4,181.4,False
276,mygo__276,mygo,霧周途,220.0,220.0,False
277,mygo__277,mygo,端程山,181.4,181.4,False
278,mygo__278,mygo,処救生,191.4,191.4,False
279,mygo__279,mygo,輪符雨,152.0,152.0,False
280,mygo__280,mygo,夜隠染,112.3,112.3,False
281,mygo__281,mygo,過惰幻,169.4,169.4,False
282,mygo__282,mygo,回層浮,198.8,198.8,False
283,mygo__283,mygo,砂寸奏,181.4,181.4,False
284,mygo__284,mygo,焚音打,191.4,191.4,False
285,mygo__285,mygo,残痕字,175.2,175.2,False
286,mygo__286,mygo,掌心正銘,184.6,184.6,False
287,mygo__287,mygo,証命讃歌,211.0,211.0,False
288,mygo__288,mygo,エガクミライ,175.2,58.39999999999999,True
289,mygo__289,mygo,静降想,123.0,184.5,True
290,mygo__290,mygo,聿日箋秋,181.4,181.4,False
291,mygo__291,mygo,往欄印,181.4,181.4,False
292,mygo__292,mygo,だれかの心臓になれたなら (Cover),145.6,145.6,False
293,mygo__293,mygo,遥か彼方 (Cover),175.2,175.2,False
294,mygo__294,mygo,雑踏、僕らの街 (Cover),172.2,172.2,False
295,mygo__295,mygo,過去を喰らう (Cover),188.0,188.0,False
296,mygo__296,mygo,君の神様になりたい。 (Cover),195.0,195.0,False
297,mygo__297,mygo,ノンブレス・オブリージュ (Cover),147.6,147.6,False
298,mygo__298,mygo,swim (Cover),195.0,195.0,False
299,mygo__299,mygo,猛独が襲う (Cover),156.6,156.6,False
300,mygo__300,mygo,春日影,129.2,96.9,True
301,pastel_palettes__301,pastel_palettes,TITLE IDOL,143.6,143.6,False
302,pastel_palettes__302,pastel_palettes,ワクワクmeetsトリップ,136.0,136.0,False
303,pastel_palettes__303,pastel_palettes,ゆら・ゆらRing-Dong-Dance,172.2,57.39999999999999,True
304,pastel_palettes__304,pastel_palettes,もういちど ルミナス,169.4,169.4,False
305,pastel_palettes__305,pastel_palettes,あっつあつ 常夏 らぶ☆サマー！,172.2,172.2,False
306,pastel_palettes__306,pastel_palettes,天下トーイツ A to Z☆,152.0,152.0,False
307,pastel_palettes__307,pastel_palettes,しゅわりん☆どり〜みん,175.2,175.2,False
308,pastel_palettes__308,pastel_palettes,Power of LOVE!!!,175.2,175.2,False
309,pastel_palettes__309,pastel_palettes,きゅ～まい＊flower,184.6,184.6,False
310,pastel_palettes__310,pastel_palettes,Winking☆Cheer,198.8,198.8,False
311,pastel_palettes__311,pastel_palettes,ゆめゆめグラデーション,136.0,90.66666666666666,True
312,pastel_palettes__312,pastel_palettes,はなまる◎アンダンテ,166.7,166.7,False
313,pastel_palettes__313,pastel_palettes,パスパレボリューションず☆,175.2,175.2,False
314,pastel_palettes__314,pastel_palettes,SURVIVOR ねばーぎぶあっぷ!,198.8,198.8,False
315,pastel_palettes__315,pastel_palettes,Wonderland Girl,136.0,136.0,False
316,pastel_palettes__316,pastel_palettes,ゼッタイ宣言～Recital～,178.2,178.2,False
317,pastel_palettes__317,pastel_palettes,ぎゅっDAYS♪,172.3,172.3,False
318,pastel_palettes__318,pastel_palettes,Wonderful Sweet!,166.8,166.8,False
319,pastel_palettes__319,pastel_palettes,るんっ♪てぃてぃー！,164.0,54.66666666666666,True
320,pastel_palettes__320,pastel_palettes,パッパレ☆人生！バーン万歳！,169.4,169.4,False
321,pastel_palettes__321,pastel_palettes,Brand new Pastel Road!,172.3,172.3,False
322,pastel_palettes__322,pastel_palettes,あこがれacross,191.4,191.4,False
323,pastel_palettes__323,pastel_palettes,ハレハレ☆フォーチュン,147.7,147.7,False
324,pastel_palettes__324,pastel_palettes,ハナヒバナ,191.4,191.4,False
325,pastel_palettes__325,pastel_palettes,そばかす,169.4,169.4,False
326,pastel_palettes__326,pastel_palettes,気まぐれロマンティック,112.3,112.3,False
327,pastel_palettes__327,pastel_palettes,ドリームパレード,172.2,172.2,False
328,pastel_palettes__328,pastel_palettes,ラムのラブソング,120.2,180.3,True
329,pastel_palettes__329,pastel_palettes,DANCE! おジャ魔女,152.0,152.0,False
330,pastel_palettes__330,pastel_palettes,DISCOTHEQUE,143.6,143.6,False
331,pastel_palettes__331,pastel_palettes,ゆりゆららららゆるゆり大事件,175.2,175.2,False
332,pastel_palettes__332,pastel_palettes,SAKURAスキップ,164.0,164.0,False
333,pastel_palettes__333,pastel_palettes,Stay Alive,139.7,139.7,False
334,pastel_palettes__334,pastel_palettes,秘密の扉から会いにきて,184.6,184.6,False
335,pastel_palettes__335,pastel_palettes,トリドリ＊パレット,178.2,178.2,False
336,pastel_palettes__336,pastel_palettes,ドラマチック！アライブ,184.6,184.6,False
337,pastel_palettes__337,pastel_palettes,Radiate Warriors,129.2,129.2,False
338,pastel_palettes__338,pastel_palettes,ReReReエボリューションず☆,188.0,188.0,False
339,pastel_palettes__339,pastel_palettes,everyday flower,136.0,136.0,False
340,pastel_palettes__340,pastel_palettes,With〜きみとわたしたちの物語〜,188.0,188.0,False
341,pastel_palettes__341,pastel_palettes,フレっとパレットFight Song!!,143.6,143.6,False
342,pastel_palettes__342,pastel_palettes,デイオフ・ラフ・ラブ・サンクス,139.7,139.7,False
343,pastel_palettes__343,pastel_palettes,ホワイト ノスタルジア,139.7,139.7,False
344,pastel_palettes__344,pastel_palettes,Y.O.L.O！！！！！(パスパレver.),211.0,211.0,False
345,pastel_palettes__345,pastel_palettes,奏（かなで） (Cover),152.0,152.0,False
346,pastel_palettes__346,pastel_palettes,Sparkling Daydream (Cover),175.2,175.2,False
347,pastel_palettes__347,pastel_palettes,春を告げる (Cover),120.2,120.2,False
348,pastel_palettes__348,pastel_palettes,だから、ひとりじゃない (Cover),181.4,181.4,False
349,pastel_palettes__349,pastel_palettes,サインはB (Cover),175.2,175.2,False
350,pastel_palettes__350,pastel_palettes,愛包ダンスホール (Cover),139.7,139.7,False
351,pastel_palettes__351,pastel_palettes,最上級にかわいいの！ (Cover),166.7,166.7,False
352,pastel_palettes__352,pastel_palettes,♡桃色片想い♡ (Cover),152.0,152.0,False
353,pastel_palettes__353,pastel_palettes,金曜日のおはよう (Cover),152.0,152.0,False
354,pastel_palettes__354,pastel_palettes,魔法少女とチョコレゐト (Cover),152.0,152.0,False
355,pastel_palettes__355,pastel_palettes,可愛くてごめん (Cover),161.5,161.5,False
356,pastel_palettes__356,pastel_palettes,からくりピエロ (Cover),202.6,202.6,False
357,pastel_palettes__357,pastel_palettes,みくみくにしてあげる♪【してやんよ】 (Cover),161.5,161.5,False
358,pastel_palettes__358,pastel_palettes,ルカルカ★ナイトフィーバー (Cover),161.5,161.5,False
359,pastel_palettes__359,pastel_palettes,アイドル (Cover),166.7,166.7,False
360,pastel_palettes__360,pastel_palettes,secret base ～君がくれたもの～ (Cover),143.6,143.6,False
361,pastel_palettes__361,pastel_palettes,ふわふわ時間 (Cover),181.4,181.4,False
