idx,tag,threshold,selected_bpm_m4,switched
68,afterglow__068,0.1,60.46666666666667,True
68,afterglow__068,0.15,60.46666666666667,True
68,afterglow__068,0.2,60.46666666666667,True
69,afterglow__069,0.01,92.3,False
69,afterglow__069,0.02,61.53333333333333,True
69,afterglow__069,0.05,61.53333333333333,True
69,afterglow__069,0.08,61.53333333333333,True
69,afterglow__069,0.1,61.53333333333333,True
69,afterglow__069,0.15,61.53333333333333,True
69,afterglow__069,0.2,61.53333333333333,True
70,afterglow__070,0.01,90.7,False
70,afterglow__070,0.02,90.7,False
70,afterglow__070,0.05,90.7,False
70,afterglow__070,0.08,60.46666666666667,True
70,afterglow__070,0.1,60.46666666666667,True
70,afterglow__070,0.15,60.46666666666667,True
70,afterglow__070,0.2,60.46666666666667,True
71,afterglow__071,0.01,129.2,False
71,afterglow__071,0.02,129.2,False
71,afterglow__071,0.05,129.2,False
71,afterglow__071,0.08,86.13333333333333,True
71,afterglow__071,0.1,86.13333333333333,True
71,afterglow__071,0.15,86.13333333333333,True
71,afterglow__071,0.2,86.13333333333333,True
72,ave_mujica__072,0.01,132.5,False
72,ave_mujica__072,0.02,132.5,False
72,ave_mujica__072,0.05,132.5,False
72,ave_mujica__072,0.08,132.5,False
72,ave_mujica__072,0.1,198.75,True
72,ave_mujica__072,0.15,198.75,True
72,ave_mujica__072,0.2,198.75,True
73,ave_mujica__073,0.01,95.73333333333332,True
73,ave_mujica__073,0.02,95.73333333333332,True
73,ave_mujica__073,0.05,95.73333333333332,True
73,ave_mujica__073,0.08,95.73333333333332,True
73,ave_mujica__073,0.1,95.73333333333332,True
73,ave_mujica__073,0.15,95.73333333333332,True
73,ave_mujica__073,0.2,95.73333333333332,True
74,ave_mujica__074,0.01,158.25,True
74,ave_mujica__074,0.02,158.25,True
74,ave_mujica__074,0.05,158.25,True
74,ave_mujica__074,0.08,158.25,True
74,ave_mujica__074,0.1,158.25,True
74,ave_mujica__074,0.15,158.25,True
74,ave_mujica__074,0.2,158.25,True
75,ave_mujica__075,0.01,136.0,False
75,ave_mujica__075,0.02,136.0,False
75,ave_mujica__075,0.05,136.0,False
75,ave_mujica__075,0.08,204.0,True
75,ave_mujica__075,0.1,204.0,True
75,ave_mujica__075,0.15,204.0,True
75,ave_mujica__075,0.2,204.0,True
76,ave_mujica__076,0.01,76.53333333333333,True
76,ave_mujica__076,0.02,76.53333333333333,True
76,ave_mujica__076,0.05,76.53333333333333,True
76,ave_mujica__076,0.08,76.53333333333333,True
76,ave_mujica__076,0.1,76.53333333333333,True
76,ave_mujica__076,0.15,76.53333333333333,True
76,ave_mujica__076,0.2,76.53333333333333,True
77,ave_mujica__077,0.01,34.925,False
77,ave_mujica__077,0.02,34.925,False
77,ave_mujica__077,0.05,93.13333333333333,True
77,ave_mujica__077,0.08,93.13333333333333,True
77,ave_mujica__077,0.1,93.13333333333333,True
77,ave_mujica__077,0.15,93.13333333333333,True
77,ave_mujica__077,0.2,93.13333333333333,True
78,ave_mujica__078,0.01,129.2,False
78,ave_mujica__078,0.02,129.2,False
78,ave_mujica__078,0.05,129.2,False
78,ave_mujica__078,0.08,129.2,False
78,ave_mujica__078,0.1,129.2,False
78,ave_mujica__078,0.15,193.8,True
78,ave_mujica__078,0.2,193.8,True
79,ave_mujica__079,0.01,99.4,False
79,ave_mujica__079,0.02,99.4,False
79,ave_mujica__079,0.05,66.26666666666667,True
79,ave_mujica__079,0.08,66.26666666666667,True
79,ave_mujica__079,0.1,66.26666666666667,True
79,ave_mujica__079,0.15,66.26666666666667,True
79,ave_mujica__079,0.2,66.26666666666667,True
80,ave_mujica__080,0.01,120.2,False
80,ave_mujica__080,0.02,120.2,False
80,ave_mujica__080,0.05,120.2,False
80,ave_mujica__080,0.08,120.2,False
80,ave_mujica__080,0.1,120.2,False
80,ave_mujica__080,0.15,180.3,True
80,ave_mujica__080,0.2,180.3,True
81,ave_mujica__081,0.01,36.925,False
81,ave_mujica__081,0.02,36.925,False
81,ave_mujica__081,0.05,36.925,False
81,ave_mujica__081,0.08,36.925,False
81,ave_mujica__081,0.1,36.925,False
81,ave_mujica__081,0.15,36.925,False
81,ave_mujica__081,0.2,98.46666666666664,True
82,ave_mujica__082,0.01,120.2,False
82,ave_mujica__082,0.02,120.2,False
82,ave_mujica__082,0.05,120.2,False
82,ave_mujica__082,0.08,120.2,False
82,ave_mujica__082,0.1,120.2,False
82,ave_mujica__082,0.15,180.3,True
82,ave_mujica__082,0.2,180.3,True
83,ave_mujica__083,0.01,95.7,False
83,ave_mujica__083,0.02,95.7,False
83,ave_mujica__083,0.05,95.7,False
83,ave_mujica__083,0.08,95.7,False
83,ave_mujica__083,0.1,95.7,False
83,ave_mujica__083,0.15,63.8,True
83,ave_mujica__083,0.2,63.8,True
84,ave_mujica__084,0.01,112.3,False
84,ave_mujica__084,0.02,112.3,False
84,ave_mujica__084,0.05,112.3,False
84,ave_mujica__084,0.08,112.3,False
84,ave_mujica__084,0.1,112.3,False
84,ave_mujica__084,0.15,112.3,False
84,ave_mujica__084,0.2,74.86666666666666,True
85,ave_mujica__085,0.01,58.75,False
85,ave_mujica__085,0.02,58.75,False
85,ave_mujica__085,0.05,78.33333333333333,True
85,ave_mujica__085,0.08,78.33333333333333,True
85,ave_mujica__085,0.1,78.33333333333333,True
85,ave_mujica__085,0.15,78.33333333333333,True
85,ave_mujica__085,0.2,78.33333333333333,True
86,ave_mujica__086,0.01,99.4,False
86,ave_mujica__086,0.02,99.4,False
86,ave_mujica__086,0.05,99.4,False
86,ave_mujica__086,0.08,99.4,False
86,ave_mujica__086,0.1,99.4,False
86,ave_mujica__086,0.15,66.26666666666667,True
86,ave_mujica__086,0.2,66.26666666666667,True
87,ave_mujica__087,0.01,250.05,True
87,ave_mujica__087,0.02,250.05,True
87,ave_mujica__087,0.05,250.05,True
87,ave_mujica__087,0.08,250.05,True
87,ave_mujica__087,0.1,250.05,True
87,ave_mujica__087,0.15,250.05,True
87,ave_mujica__087,0.2,250.05,True
88,ave_mujica__088,0.01,36.925,False
88,ave_mujica__088,0.02,36.925,False
88,ave_mujica__088,0.05,98.46666666666664,True
88,ave_mujica__088,0.08,98.46666666666664,True
88,ave_mujica__088,0.1,98.46666666666664,True
88,ave_mujica__088,0.15,98.46666666666664,True
88,ave_mujica__088,0.2,98.46666666666664,True
89,ave_mujica__089,0.01,126.0,False
89,ave_mujica__089,0.02,126.0,False
89,ave_mujica__089,0.05,126.0,False
89,ave_mujica__089,0.08,189.0,True
89,ave_mujica__089,0.1,189.0,True
89,ave_mujica__089,0.15,189.0,True
89,ave_mujica__089,0.2,189.0,True
90,ave_mujica__090,0.01,99.4,False
90,ave_mujica__090,0.02,99.4,False
90,ave_mujica__090,0.05,99.4,False
90,ave_mujica__090,0.08,66.26666666666667,True
90,ave_mujica__090,0.1,66.26666666666667,True
90,ave_mujica__090,0.15,66.26666666666667,True
90,ave_mujica__090,0.2,66.26666666666667,True
91,ave_mujica__091,0.01,95.7,False
91,ave_mujica__091,0.02,95.7,False
91,ave_mujica__091,0.05,95.7,False
91,ave_mujica__091,0.08,95.7,False
91,ave_mujica__091,0.1,95.7,False
91,ave_mujica__091,0.15,143.55,True
91,ave_mujica__091,0.2,143.55,True
92,ave_mujica__092,0.01,132.5,False
92,ave_mujica__092,0.02,132.5,False
92,ave_mujica__092,0.05,132.5,False
92,ave_mujica__092,0.08,132.5,False
92,ave_mujica__092,0.1,132.5,False
92,ave_mujica__092,0.15,198.75,True
