idx,band,song,duration_sec,crowd_median,crowd_p10,crowd_p90,crowd_std,noise_floor_db,rt60_est_sec,n_patches,extract_sec,error
230,morfonica,Nevereverland (Cover),287.4,0.0007216991507448256,0.00036492187064141035,0.0013981013325974345,0.001177515834569931,-26.28,5.0,144,0.8,
231,morfonica,メリッサ (Cover),256.83,0.0007852751296013594,0.00040825712494552135,0.0014285551151260734,0.00043418497079983354,-19.23,5.0,129,0.77,
232,morfonica,COLORFUL BOX (Cover),238.4,0.00084032176528126,0.0004078320343978703,0.0014163927407935262,0.0004262702714186162,-18.68,5.0,120,0.76,
233,morfonica,unravel (Cover),237.4,0.0007730109500698745,0.00038928340654820204,0.0015162302879616618,0.0005479789688251913,-25.4,5.0,119,1.07,
234,morfonica,アゲハ蝶 (Cover),280.67,0.0008314705337397754,0.0003905335033778101,0.001694643753580749,0.0005510334158316255,-19.72,5.0,141,1.34,
235,morfonica,V.I.P (Cover),193.5,0.0009533041156828403,0.0005762822111137211,0.0017656697891652584,0.0007813487900421023,-17.39,5.0,97,0.87,
236,morfonica,CQCQ (Cover),221.77,0.0006455120164901018,0.00044065245310775936,0.0013631487963721156,0.001243905397132039,-19.89,5.0,111,1.04,
237,mugendai_mutype,アイの夢限,200.5,0.0007527426350861788,0.00045677486923523247,0.0013747550547122955,0.0006165437516756356,-24.74,5.0,101,0.92,
238,mugendai_mutype,どんがらがっしゃん,196.53,0.001049841521307826,0.00047947579878382385,0.002081302460283041,0.0009136738954111934,-17.42,5.0,99,0.91,
239,mugendai_mutype,みゅーたんとミュータント,,,,,,-23.63,5.0,,1.02,
240,mugendai_mutype,チューニング,,,,,,-24.1,5.0,,0.9,
241,mugendai_mutype,Dream Voyage,262.32,0.0009675894398242235,0.00046099277096800506,0.0022177034988999367,0.0007390006212517619,-17.62,5.0,132,1.21,
242,mugendai_mutype,グラディエント,201.02,0.0008592377998866141,0.00044338611769489944,0.0013223994756117463,0.00037471638643182814,-26.98,5.0,101,0.93,
243,mugendai_mutype,LET'Sあちあちトレーニング！,206.5,0.0009396844543516636,0.00041414398583583534,0.002173504326492548,0.013562706299126148,-24.64,5.0,104,0.94,
244,mugendai_mutype,真夜中遊園地,230.0,0.0008411442977376282,0.00041927670827135444,0.0013667922466993332,0.00051923404680565,-20.03,5.0,115,1.06,
245,mugendai_mutype,テレパシー,254.0,0.0006995471194386482,0.0003922427713405341,0.0012151970295235515,0.00033747521229088306,-30.74,5.0,127,1.17,
246,mugendai_mutype,TRASH LIFE,213.02,0.0009260891820304096,0.0003725613350979984,0.0017192201921716332,0.0007509441347792745,-35.14,5.0,107,0.99,
247,mugendai_mutype,新人類は仮想世界の夢を見るか?,,,,,,-20.32,5.0,,1.09,
248,mugendai_mutype,コミュ着火Fire!,185.02,0.0012628691038116813,0.0006170508568175137,0.005690199322998524,0.01513233594596386,-19.88,5.0,93,0.86,
249,mugendai_mutype,Calling,,,,,,-19.82,5.0,,0.83,
250,mugendai_mutype,Hi-Vision,180.5,0.0008348065312020481,0.00041533654439263046,0.0015116296708583832,0.0005948279285803437,-23.84,5.0,91,0.84,
251,mugendai_mutype,コハク,,,,,,-26.38,5.0,,1.01,
252,mugendai_mutype,✞animaるパーティ✞開催中✞,177.02,0.0011135322274640203,0.0005190550000406802,0.003676478983834386,0.011529983021318913,-22.29,5.0,89,0.85,
253,mugendai_mutype,エンプティパペット,,,,,,-24.8,5.0,,0.59,
254,mugendai_mutype,限界現実サバイブ天使,,,,,,-19.89,5.0,,0.6,
255,mugendai_mutype,ビッグマウス,173.02,0.0007988890283741057,0.00038664808380417526,0.0013229927280917764,0.0006706468993797898,-19.82,5.0,87,0.54,
