idx,tag,band,song,drum_tempo_bpm,n_candidates_in_range,base_in_range,selected_multiplier,selected_bpm,selected_acf,audio_status,cand_0.500_bpm,cand_0.500_acf,cand_0.667_bpm,cand_0.667_acf,cand_1.000_bpm,cand_1.000_acf,cand_1.500_bpm,cand_1.500_acf,cand_2.000_bpm,cand_2.000_acf
110,hello_happy_world__110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,86.1,3,True,1.0,86.1,0.7027245759963989,ok,,,,,86.1,0.7027245759963989,129.14999999999998,0.18757690489292145,172.2,0.6043291091918945
111,hello_happy_world__111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,95.7,3,True,1.0,95.7,0.6840741038322449,ok,,,,,95.7,0.6840741038322449,143.55,0.20200160145759583,191.4,0.6152817010879517
112,hello_happy_world__112,hello_happy_world,ないすみちゅっ！,87.6,3,True,1.0,87.6,0.6271057724952698,ok,,,,,87.6,0.6271057724952698,131.39999999999998,0.17279498279094696,175.2,0.5712195634841919
113,hello_happy_world__113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,107.7,3,True,1.0,107.7,0.6648853421211243,ok,,,,,107.7,0.6648853421211243,161.55,0.35298722982406616,215.4,0.5695545077323914
114,hello_happy_world__114,hello_happy_world,うぃーきゃん☆フレフレっ！,90.7,3,True,1.0,90.7,0.7225667834281921,ok,,,,,90.7,0.7225667834281921,136.05,0.13951779901981354,181.4,0.5692827105522156
115,hello_happy_world__115,hello_happy_world,えがおのオーケストラっ！,139.7,3,True,1.0,139.7,0.6092194318771362,ok,,,93.13333333333333,0.3837083578109741,139.7,0.6092194318771362,209.54999999999998,0.1496318280696869,,
116,hello_happy_world__116,hello_happy_world,にこにこねくと！,83.4,2,True,2.0,166.8,0.514718234539032,ok,,,,,,,125.10000000000001,0.13765355944633484,166.8,0.514718234539032
117,hello_happy_world__117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,126.0,2,True,1.0,126.0,0.6021226048469543,ok,,,,,126.0,0.6021226048469543,189.0,0.2132493257522583,,
118,hello_happy_world__118,hello_happy_world,せかいのっびのびトレジャー！,84.7,2,True,2.0,169.4,0.1884060800075531,ok,,,,,,,127.05000000000001,0.14178404211997986,169.4,0.1884060800075531
119,hello_happy_world__119,hello_happy_world,きらっ☆と キミフェス！,129.2,3,True,1.0,129.2,0.839273989200592,ok,,,86.13333333333333,0.47440439462661743,129.2,0.839273989200592,193.79999999999998,0.0894060805439949,,
120,hello_happy_world__120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,97.5,3,True,1.0,97.5,0.7255393862724304,ok,,,,,97.5,0.7255393862724304,146.25,0.11252672225236893,195.0,0.6350088119506836
121,hello_happy_world__121,hello_happy_world,はれやか すこやか ぴかりんりん♪,114.8,2,True,1.0,114.8,0.6253380179405212,ok,,,,,114.8,0.6253380179405212,172.2,0.21208563446998596,,
122,hello_happy_world__122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,129.2,3,True,1.0,129.2,0.660197913646698,ok,,,86.13333333333333,0.27914249897003174,129.2,0.660197913646698,193.79999999999998,0.3279294967651367,,
123,hello_happy_world__123,hello_happy_world,Happy! Happier! Happiest!,86.1,3,True,1.0,86.1,0.7578956484794617,ok,,,,,86.1,0.7578956484794617,129.14999999999998,0.1649145483970642,172.2,0.6763249039649963
124,hello_happy_world__124,hello_happy_world,現るっ！大怪盗ハロハッピー！,92.3,3,True,1.0,92.3,0.6226387023925781,ok,,,,,92.3,0.6226387023925781,138.45,0.1408504843711853,184.6,0.5784475207328796
125,hello_happy_world__125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,161.5,2,True,1.0,161.5,0.6949577927589417,ok,,,107.66666666666666,0.4760148823261261,161.5,0.6949577927589417,,,,
126,hello_happy_world__126,hello_happy_world,おもいでイルミネーション,166.7,2,True,1.0,166.7,0.7020561099052429,ok,,,111.13333333333333,0.13469772040843964,166.7,0.7020561099052429,,,,
127,hello_happy_world__127,hello_happy_world,おもいやりハーモニー,136.0,3,True,1.0,136.0,0.5627056956291199,ok,,,90.66666666666666,0.10078969597816467,136.0,0.5627056956291199,204.0,0.31416311860084534,,
128,hello_happy_world__128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,92.3,3,True,1.0,92.3,0.7022790312767029,ok,,,,,92.3,0.7022790312767029,138.45,0.3313404321670532,184.6,0.5310098528862
129,hello_happy_world__129,hello_happy_world,えがお、あーゆーれでぃ???,139.7,3,True,1.0,139.7,0.7577643394470215,ok,,,93.13333333333333,0.3232342004776001,139.7,0.7577643394470215,209.54999999999998,0.1764754354953766,,
130,hello_happy_world__130,hello_happy_world,ハッピーサマーウェディング,129.2,3,True,1.0,129.2,0.7835400104522705,ok,,,86.13333333333333,0.2539226710796356,129.2,0.7835400104522705,193.79999999999998,0.13814355432987213,,
131,hello_happy_world__131,hello_happy_world,ひまわりの約束,79.5,2,True,2.0,159.0,0.455166757106781,ok,,,,,,,119.25,0.10413504391908646,159.0,0.455166757106781
132,hello_happy_world__132,hello_happy_world,ハッピー☆マテリアル,82.0,2,True,2.0,164.0,0.468618243932724,ok,,,,,,,123.0,0.15663422644138336,164.0,0.468618243932724
133,hello_happy_world__133,hello_happy_world,太陽曰く燃えよカオス,143.6,3,True,1.0,143.6,0.7613562941551208,ok,,,95.73333333333332,0.4034718871116638,143.6,0.7613562941551208,215.39999999999998,0.13452525436878204,,
134,hello_happy_world__134,hello_happy_world,エクストラ・マジック・アワー,90.7,3,True,1.0,90.7,0.662769615650177,ok,,,,,90.7,0.662769615650177,136.05,0.1491313874721527,181.4,0.5503305196762085
135,hello_happy_world__135,hello_happy_world,コレカラ,161.5,2,True,1.0,161.5,0.6472418308258057,ok,,,107.66666666666666,0.4700256884098053,161.5,0.6472418308258057,,,,
136,hello_happy_world__136,hello_happy_world,全力少年,132.5,3,True,1.0,132.5,0.599835216999054,ok,,,88.33333333333333,0.3836873471736908,132.5,0.599835216999054,198.75,0.14952950179576874,,
