idx,tag,band,song,drum_tempo_bpm,n_candidates,rule,decision_ratio,octave_shift,selected_bpm,base_in_range
124,hello_happy_world__124,hello_happy_world,現るっ！大怪盗ハロハッピー！,92.3,2,acf_up,0.929,0,92.3,True
125,hello_happy_world__125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,161.5,1,unique,,0,161.5,True
126,hello_happy_world__126,hello_happy_world,おもいでイルミネーション,166.7,1,unique,,0,166.7,True
127,hello_happy_world__127,hello_happy_world,おもいやりハーモニー,136.0,1,unique,,0,136.0,True
128,hello_happy_world__128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,92.3,2,acf_up,0.756,0,92.3,True
129,hello_happy_world__129,hello_happy_world,えがお、あーゆーれでぃ???,139.7,1,unique,,0,139.7,True
130,hello_happy_world__130,hello_happy_world,ハッピーサマーウェディング,129.2,1,unique,,0,129.2,True
131,hello_happy_world__131,hello_happy_world,ひまわりの約束,79.5,1,unique,,1,159.0,False
132,hello_happy_world__132,hello_happy_world,ハッピー☆マテリアル,82.0,1,unique,,1,164.0,False
133,hello_happy_world__133,hello_happy_world,太陽曰く燃えよカオス,143.6,1,unique,,0,143.6,True
134,hello_happy_world__134,hello_happy_world,エクストラ・マジック・アワー,90.7,2,acf_up,0.83,0,90.7,True
135,hello_happy_world__135,hello_happy_world,コレカラ,161.5,1,unique,,0,161.5,True
136,hello_happy_world__136,hello_happy_world,全力少年,132.5,1,unique,,0,132.5,True
137,hello_happy_world__137,hello_happy_world,オレンジ,139.7,1,unique,,0,139.7,True
138,hello_happy_world__138,hello_happy_world,Happy Girl,143.6,1,unique,,0,143.6,True
139,hello_happy_world__139,hello_happy_world,ン・パカマーチ,117.5,1,unique,,0,117.5,True
140,hello_happy_world__140,hello_happy_world,サンバロハッピ〜！,129.2,1,unique,,0,129.2,True
141,hello_happy_world__141,hello_happy_world,ボクらの夏's☆ショーたいむっ！！,89.1,2,acf_up,0.777,0,89.1,True
142,hello_happy_world__142,hello_happy_world,むすんでわらって,129.2,1,unique,,0,129.2,True
143,hello_happy_world__143,hello_happy_world,キミを れっつ・はぶ・ふぁん♪,156.6,1,unique,,0,156.6,True
144,hello_happy_world__144,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,139.7,1,unique,,0,139.7,True
145,hello_happy_world__145,hello_happy_world,れっつ・スマイル・すとり〜みんぐっ♪,74.9,1,unique,,1,149.8,False
146,hello_happy_world__146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,156.6,1,unique,,0,156.6,True
147,hello_happy_world__147,hello_happy_world,とーくとぅみー・とーくとぅゆー,136.0,1,unique,,0,136.0,True
148,hello_happy_world__148,hello_happy_world,ハイタッチ／＼びりーばーず☆,166.7,1,unique,,0,166.7,True
149,hello_happy_world__149,hello_happy_world,Listen to Smile!,126.0,1,unique,,0,126.0,True
150,hello_happy_world__150,hello_happy_world,スマイリーキャロル,110.0,2,acf_up,0.839,0,110.0,True
151,hello_happy_world__151,hello_happy_world,えがお、み〜っけた！,143.6,1,unique,,0,143.6,True
152,hello_happy_world__152,hello_happy_world,上海ハニー (Cover),129.2,1,unique,,0,129.2,True
153,hello_happy_world__153,hello_happy_world,シル・ヴ・プレジデント (Cover),87.6,2,acf_up,0.91,0,87.6,True
154,hello_happy_world__154,hello_happy_world,ヒャダインのじょーじょーゆーじょー (Cover),99.4,2,acf_up,0.911,0,99.4,True
155,hello_happy_world__155,hello_happy_world,はいよろこんで (Cover),147.7,1,unique,,0,147.7,True
156,hello_happy_world__156,hello_happy_world,シカ色デイズ (Cover),92.3,2,acf_up,0.874,0,92.3,True
157,hello_happy_world__157,hello_happy_world,強風オールバック (Cover),136.0,1,unique,,0,136.0,True
158,hello_happy_world__158,hello_happy_world,最高到達点 (Cover),132.5,1,unique,,0,132.5,True
159,hello_happy_world__159,hello_happy_world,許婚っきゅん (Cover),147.7,1,unique,,0,147.7,True
160,hello_happy_world__160,hello_happy_world,新宝島 (Cover),156.6,1,unique,,0,156.6,True
161,hello_happy_world__161,hello_happy_world,ドレミファロンド (Cover),126.0,1,unique,,0,126.0,True
162,hello_happy_world__162,hello_happy_world,きゅうくらりん (Cover),110.0,2,acf_up,0.637,0,110.0,True
163,hello_happy_world__163,hello_happy_world,ロメオ (Cover),139.7,1,unique,,0,139.7,True
164,hello_happy_world__164,hello_happy_world,エイリアンエイリアン (Cover),152.0,1,unique,,0,152.0,True
165,hello_happy_world__165,hello_happy_world,いーあるふぁんくらぶ (Cover),143.6,1,unique,,0,143.6,True
166,hello_happy_world__166,hello_happy_world,回レ！雪月花 (Cover),79.5,1,unique,,1,159.0,False
167,hello_happy_world__167,hello_happy_world,恋愛裁判 (Cover),132.5,1,unique,,0,132.5,True
168,hello_happy_world__168,hello_happy_world,TOMORROW (Cover),132.5,1,unique,,0,132.5,True
169,hello_happy_world__169,hello_happy_world,GO! GO! MANIAC (Cover),126.0,1,unique,,0,126.0,True
170,hello_happy_world__170,hello_happy_world,Dragon Night (Cover),123.0,1,unique,,0,123.0,True
171,hello_happy_world__171,hello_happy_world,ようこそジャパリパークへ (Cover),84.7,1,unique,,1,169.4,False
172,hello_happy_world__172,hello_happy_world,ウィーアー！ (Cover),84.7,1,unique,,1,169.4,False
173,hello_happy_world__173,hello_happy_world,おジャ魔女カーニバル!! (Cover),147.7,1,unique,,0,147.7,True
174,hello_happy_world__174,hello_happy_world,ダーリンダンス (Cover),152.0,1,unique,,0,152.0,True
175,hello_happy_world__175,hello_happy_world,ノーポイッ！ (Cover),156.6,1,unique,,0,156.6,True
176,hello_happy_world__176,hello_happy_world,SHINY DAYS (Cover),110.0,2,acf_up,0.88,0,110.0,True
177,hello_happy_world__177,hello_happy_world,シルエット (Cover),92.3,2,acf_up,0.841,0,92.3,True
178,ikka_dumb_rock__178,ikka_dumb_rock,ホーミー・タイッ！！,129.2,1,unique,,0,129.2,True
179,millsage__179,millsage,起死開戦,112.3,1,unique,,0,112.3,True
180,morfonica__180,morfonica,Daylight -デイライト-,92.3,2,acf_up,0.837,0,92.3,True
181,morfonica__181,morfonica,メランコリックララバイ,90.7,2,acf_up,0.953,0,90.7,True
182,morfonica__182,morfonica,flame of hope,95.7,2,acf_up,0.9,0,95.7,True
183,morfonica__183,morfonica,ブルームブルーム,90.7,2,acf_up,0.707,0,90.7,True
184,morfonica__184,morfonica,カラフルリバティー,92.3,2,acf_up,0.863,0,92.3,True
185,morfonica__185,morfonica,fly with the night,84.7,1,unique,,1,169.4,False
186,morfonica__186,morfonica,金色へのプレリュード,87.6,2,acf_up,0.872,0,87.6,True
187,morfonica__187,morfonica,The Circle Of Butterflies,87.6,2,acf_up,0.902,0,87.6,True
188,morfonica__188,morfonica,ハーモニー・デイ,90.7,2,acf_up,0.869,0,90.7,True
189,morfonica__189,morfonica,Sweet Cheers!,110.0,2,acf_up,1.132,1,220.0,True
190,morfonica__190,morfonica,"寄る辺のSunny, Sunny",92.3,2,acf_up,0.919,0,92.3,True
191,morfonica__191,morfonica,誓いのWingbeat,103.4,2,acf_up,1.013,1,206.8,True
192,morfonica__192,morfonica,Ever Sky Blue,97.5,2,acf_up,0.791,0,97.5,True
193,morfonica__193,morfonica,Polyphonyscape,152.0,1,unique,,0,152.0,True
194,morfonica__194,morfonica,Wreath of Brave,136.0,1,unique,,0,136.0,True
195,morfonica__195,morfonica,Merry Merry Thanks!!,143.6,1,unique,,0,143.6,True
196,morfonica__196,morfonica,Sonorous,132.5,1,unique,,0,132.5,True
197,morfonica__197,morfonica,両翼のBrilliance,86.1,2,acf_up,0.884,0,86.1,True
198,morfonica__198,morfonica,Steer to Utopia,97.5,2,acf_up,0.768,0,97.5,True
199,morfonica__199,morfonica,Fateful...,132.5,1,unique,,0,132.5,True
200,morfonica__200,morfonica,ティリカモニカリラ,139.7,1,unique,,0,139.7,True
201,morfonica__201,morfonica,Secret Dawn,132.5,1,unique,,0,132.5,True
202,morfonica__202,morfonica,Angel's Ladder,99.4,2,acf_up,0.87,0,99.4,True
203,morfonica__203,morfonica,One step at a time,87.6,2,acf_up,0.813,0,87.6,True
204,morfonica__204,morfonica,Tempest,101.3,2,acf_up,0.792,0,101.3,True
205,morfonica__205,morfonica,フレージング ミラージュ,95.7,2,acf_up,0.685,0,95.7,True
206,morfonica__206,morfonica,MUGEN Reverberate!,94.0,2,acf_up,0.86,0,94.0,True
207,morfonica__207,morfonica,わたしまちがいさがし,120.2,1,unique,,0,120.2,True
208,morfonica__208,morfonica,esora no clover,161.5,1,unique,,0,161.5,True
209,morfonica__209,morfonica,きょうもMerry go rounD,136.0,1,unique,,0,136.0,True
210,morfonica__210,morfonica,Feathered Dreams,87.6,2,acf_up,0.883,0,87.6,True
211,morfonica__211,morfonica,Portray Empathy,86.1,2,acf_up,0.965,1,172.2,True
212,morfonica__212,morfonica,ビューティ・フォー,99.4,2,acf_up,0.841,0,99.4,True
213,morfonica__213,morfonica,胡蝶翔る星月夜,99.4,2,acf_up,0.679,0,99.4,True
214,morfonica__214,morfonica,Color of Us,97.5,2,acf_up,0.948,0,97.5,True
215,morfonica__215,morfonica,Resonant Strings,97.5,2,acf_up,0.796,0,97.5,True
216,morfonica__216,morfonica,Shining Leaves,92.3,2,acf_up,0.85,0,92.3,True
217,morfonica__217,morfonica,音がえしのセレナーデ,92.3,2,acf_up,0.911,0,92.3,True
218,morfonica__218,morfonica,蒼穹へのトレイル,95.7,2,acf_up,0.873,0,95.7,True
219,morfonica__219,morfonica,QUEEN (Cover),84.7,1,unique,,1,169.4,False
220,morfonica__220,morfonica,again (Cover),94.0,2,acf_up,0.523,0,94.0,True
221,morfonica__221,morfonica,輪舞-revolution (Cover),129.2,1,unique,,0,129.2,True
222,morfonica__222,morfonica,メロウ (Cover),72.8,1,unique,,1,145.6,False
223,morfonica__223,morfonica,祝福 (Cover),84.7,1,unique,,1,169.4,False
224,morfonica__224,morfonica,Overdose (Cover),117.5,1,unique,,0,117.5,True
225,morfonica__225,morfonica,かくれんぼ (Cover),90.7,2,acf_up,0.859,0,90.7,True
226,morfonica__226,morfonica,chAngE (Cover),82.0,1,unique,,1,164.0,False
227,morfonica__227,morfonica,ALIVE (Cover),89.1,2,acf_up,0.982,1,178.2,True
228,morfonica__228,morfonica,Nameless Story (Cover),97.5,2,acf_up,0.881,0,97.5,True
229,morfonica__229,morfonica,青空のラプソディ (Cover),136.0,1,unique,,0,136.0,True
230,morfonica__230,morfonica,Nevereverland (Cover),103.4,2,acf_up,0.824,0,103.4,True
231,morfonica__231,morfonica,メリッサ (Cover),84.7,1,unique,,1,169.4,False
232,morfonica__232,morfonica,COLORFUL BOX (Cover),161.5,1,unique,,0,161.5,True
233,morfonica__233,morfonica,unravel (Cover),136.0,1,unique,,0,136.0,True
234,morfonica__234,morfonica,アゲハ蝶 (Cover),114.8,1,unique,,0,114.8,True
235,morfonica__235,morfonica,V.I.P (Cover),92.3,2,acf_up,0.703,0,92.3,True
236,morfonica__236,morfonica,CQCQ (Cover),143.6,1,unique,,0,143.6,True
237,mugendai_mutype__237,mugendai_mutype,アイの夢限,120.2,1,unique,,0,120.2,True
238,mugendai_mutype__238,mugendai_mutype,どんがらがっしゃん,132.5,1,unique,,0,132.5,True
239,mugendai_mutype__239,mugendai_mutype,みゅーたんとミュータント,152.0,1,unique,,0,152.0,True
240,mugendai_mutype__240,mugendai_mutype,チューニング,97.5,2,acf_up,0.888,0,97.5,True
241,mugendai_mutype__241,mugendai_mutype,Dream Voyage,156.6,1,unique,,0,156.6,True
242,mugendai_mutype__242,mugendai_mutype,グラディエント,120.2,1,unique,,0,120.2,True
243,mugendai_mutype__243,mugendai_mutype,LET'Sあちあちトレーニング！,178.2,2,acf_down,0.9396332728711864,0,178.2,True
244,mugendai_mutype__244,mugendai_mutype,真夜中遊園地,97.5,2,acf_up,0.937,0,97.5,True
245,mugendai_mutype__245,mugendai_mutype,テレパシー,89.1,2,acf_up,0.953,0,89.1,True
246,mugendai_mutype__246,mugendai_mutype,TRASH LIFE,120.2,1,unique,,0,120.2,True
