tag,essentia_key,essentia_scale,essentia_key_strength,status
mugendai_mutype__251,D,major,0.756283521652,success
mugendai_mutype__252,D,major,0.78908765316,success
mugendai_mutype__253,D,minor,0.810535907745,success
mugendai_mutype__254,D,minor,0.770093977451,success
mugendai_mutype__255,Ab,minor,0.579273045063,success
mugendai_mutype__256,A,major,0.736546337605,success
mugendai_mutype__257,Bb,minor,0.507146716118,success
mugendai_mutype__258,F#,minor,0.508350789547,success
mugendai_mutype__259,F,minor,0.52304816246,success
mygo__260,Ab,major,0.767998814583,success
mygo__261,F#,major,0.566733896732,success
mygo__262,C#,major,0.776001036167,success
mygo__263,Bb,minor,0.641304433346,success
mygo__264,D,minor,0.551853656769,success
mygo__265,B,minor,0.832177758217,success
mygo__266,C#,major,0.606142044067,success
mygo__267,E,major,0.747730970383,success
mygo__268,F,major,0.839023530483,success
mygo__269,D,major,0.683517515659,success
mygo__270,G,major,0.629967749119,success
mygo__271,F#,major,0.809570431709,success
mygo__272,D,major,0.826461076736,success
mygo__273,C,major,0.699155986309,success
mygo__274,E,major,0.514025866985,success
mygo__275,G,major,0.572131574154,success
mygo__276,F,major,0.779677867889,success
mygo__277,E,major,0.732071816921,success
mygo__278,C#,major,0.761663138866,success
mygo__279,F,minor,0.585516691208,success
mygo__280,Bb,major,0.72588133812,success
mygo__281,Bb,major,0.756173431873,success
mygo__282,Ab,minor,0.679119586945,success
mygo__283,A,major,0.643699109554,success
mygo__284,A,major,0.844098269939,success
mygo__285,E,major,0.757957518101,success
mygo__286,E,major,0.737120985985,success
mygo__287,F,major,0.864414036274,success
mygo__288,Ab,major,0.826438605785,success
mygo__289,Bb,major,0.807926118374,success
mygo__290,D,major,0.824022471905,success
mygo__291,Eb,major,0.793866455555,success
mygo__292,C#,major,0.595545887947,success
mygo__293,A,major,0.779076337814,success
mygo__294,E,minor,0.7024269104,success
mygo__295,Eb,major,0.792239308357,success
mygo__296,G,major,0.710081338882,success
mygo__297,F,major,0.803423166275,success
mygo__298,E,major,0.71768707037,success
mygo__299,B,major,0.469488024712,success
mygo__300,E,major,0.752929329872,success
