idx,band,song,duration_sec,instr_stem_ratio,voice_median,voice_p10,voice_p90,voice_std,n_patches,error
58,afterglow,瞬間センチメンタル (Cover),230.93,0.739362,0.997795343399048,0.538213312625885,0.9999573826789856,0.2129692435264587,154.0,
59,afterglow,プライド革命 (Cover),238.53,0.691156,0.9982761144638062,0.0995264947414398,0.9999942779541016,0.3731896579265594,159.0,
60,afterglow,命に嫌われている。 (Cover),274.1,0.727035,0.8787497282028198,0.1831055134534835,0.998971939086914,0.3209040462970733,183.0,
61,afterglow,Redo (Cover),261.57,0.719159,0.802942156791687,0.060676023364067,0.9964880347251892,0.3543903529644012,174.0,
62,afterglow,インフェルノ (Cover),214.17,0.728964,0.9600429534912108,0.2935692965984344,0.99990314245224,0.2740411162376404,142.0,
63,afterglow,ドラマツルギー (Cover),238.6,0.654367,0.9954400062561036,0.5006904006004333,0.999937891960144,0.2534020245075226,159.0,
64,afterglow,COLORS (Cover),218.8,0.695908,0.99482661485672,0.0911383405327797,0.9999088048934937,0.352103590965271,146.0,
65,afterglow,午夜の待ち合わせ (Cover),171.53,0.717063,0.9947770237922668,0.2146815210580825,0.9998704195022584,0.31870898604393,114.0,
66,afterglow,サムライハート（Some Like It Hot!!） (Cover),190.63,0.700879,0.9700803756713868,0.2036142200231552,0.9997826218605042,0.3042151033878326,127.0,
67,afterglow,ベノム (Cover),198.5,0.76868,0.9625173807144164,0.2855349481105804,0.9997242093086244,0.2720746397972107,132.0,
68,afterglow,Don't say “lazy” (Cover),275.67,0.749632,0.9984116554260254,0.3344418704509735,0.9999845623970032,0.2733453810214996,184.0,
69,afterglow,Part of the Life,88.66,0.652968,0.9990256428718568,0.6772913336753845,0.9999693632125854,0.1868370473384857,58.0,
70,afterglow,Punchline Halloween!!!,234.17,0.684802,0.9913315773010254,0.0715941339731216,0.999930739402771,0.371396005153656,156.0,
71,afterglow,I love your way！,263.7,0.753041,0.9408673048019408,0.2357470393180847,0.999515414237976,0.3013273477554321,176.0,
72,ave_mujica,KiLLKiSS,208.77,0.635171,0.9873873591423036,0.2704451084136963,0.9999409914016724,0.2953914999961853,139.0,
73,ave_mujica,"Georgette Me, Georgette You",234.68,0.468271,0.9961637258529664,0.6324855089187622,0.9999396204948424,0.2535018026828766,156.0,
74,ave_mujica,Imprisoned XII,192.17,0.626194,0.9991077184677124,0.0445732325315475,0.9999586939811708,0.3554648160934448,128.0,
75,ave_mujica,Crucifix X,299.0,0.804841,0.997331976890564,0.3986635208129883,0.9999618530273438,0.2813242971897125,199.0,
76,ave_mujica,八芒星ダンス,231.55,0.796263,0.9980449676513672,0.2446964681148529,0.99992698431015,0.3058960735797882,154.0,
77,ave_mujica,顔,242.17,0.786544,0.9996324777603148,0.9449750781059264,0.9999884366989136,0.0956740751862526,161.0,
78,ave_mujica,天球のMúsica,280.33,0.721646,0.9981448650360109,0.5211374163627625,0.999955713748932,0.2169249057769775,187.0,
79,ave_mujica,黒のバースデイ,234.26,0.687522,0.982797920703888,0.0799900442361831,0.999608039855957,0.3430714309215545,156.0,
80,ave_mujica,ふたつの月 ~Deep Into The Forest~,304.92,0.801904,0.9095091223716736,0.2917884886264801,0.9978464245796204,0.2714898288249969,203.0,
81,ave_mujica,Choir ‘S’ Choir,288.14,0.7646,0.9887585639953612,0.2627854347229004,0.9999452829360962,0.2802090346813202,192.0,
82,ave_mujica,神さま、バカ,223.98,0.750042,0.994671642780304,0.566758394241333,0.9999661445617676,0.2232311069965362,149.0,
83,ave_mujica,Mas?uerade Rhapsody Re?uest,249.79,0.790957,0.9844191670417786,0.0600445345044136,0.9999411702156068,0.3983908891677856,166.0,
84,ave_mujica,Ave Mujica,277.99,0.707251,0.9687376022338868,0.2627854347229004,0.9998009204864502,0.3053497672080993,185.0,
85,ave_mujica,Symbol I : △,312.18,0.644959,0.9958196878433228,0.4356856048107147,0.9999179840087892,0.2575700581073761,208.0,
